region,SA2_5DIG16,v_lnp_sa2,v_alp_sa2,v_t_sa2,p_lnp_sa2,p_alp_sa2,p_lnp_sa2_16,swing,coal,mining,coal_lab,min_lab
Newtown (Qld),31453,3113.555781,1752.839802,4866.3955829999995,63.98,36.02,58.61,5.37,0.3798429982273993,1.4687262598126107,non_coal,non_mining
Moree,11195,3257.846181,870.7110671,4128.5572481,78.91,21.09,73.55,5.36,0.09807126511932004,0.2288329519450801,non_coal,non_mining
Margate - Woody Point,31378,3658.233971,2788.629317,6446.8632880000005,56.74,43.26,51.39,5.35,0.26513477684489617,0.7291206363234645,non_coal,non_mining
Mandurah - North,51027,5240.328334,3378.989344,8619.317678,60.8,39.2,55.47,5.33,0.12229922543823889,9.838293246364996,non_coal,mining
Caboolture - South,31366,4766.167042,4792.965316,9559.132357999999,49.86,50.14,44.54,5.32,0.24079320113314448,1.0906515580736544,non_coal,non_mining
Falcon - Wannanup,51022,3059.704961,1817.516027,4877.220988,62.73,37.27,57.43,5.3,0.1876759461995621,10.00938379730998,non_coal,mining
North Burnett,31510,0.48655914,0.432795699,0.9193548389999999,52.92,47.08,47.63,5.29,0,0,non_coal,non_mining
Bega - Tathra,11019,2281.870461,2870.726979,5152.59744,44.29,55.71,39.01,5.28,0,0,non_coal,non_mining
Warragamba - Silverdale,11465,1864.581313,872.5779631,2737.1592761,68.12,31.88,62.84,5.28,0.11848341232227488,0.5924170616113744,non_coal,non_mining
Dawesville - Bouvard,51021,2476.076955,1466.164521,3942.241476,62.81,37.19,57.54,5.27,0,13.075722092115535,non_coal,mining
Naracoorte,41154,2526.317519,725.4248777,3251.7423967000004,77.69,22.31,72.44,5.25,0,0.17959770114942528,non_coal,non_mining
Logan Village,31322,1886.860494,1337.302392,3224.162886,58.52,41.48,53.29,5.23,0.3292723081988805,0.691471847217649,non_coal,non_mining
Tablelands,31400,1509.421551,823.435726,2332.857277,64.7,35.3,59.48,5.22,0.5702436495593572,4.354587869362364,coal,mining
Armadale - Wungong - Brookdale,51110,3296.006111,4910.329746,8206.335857,40.16,59.84,34.94,5.22,0.0455719276925414,3.3875132918122435,non_coal,mining
Toowoomba - West,31458,5175.104524,2196.098171,7371.202695,70.21,29.79,65,5.21,0.6166828951639078,2.142161635832522,coal,mining
Mandurah - South,51028,3394.039831,2252.950984,5646.990815,60.1,39.9,54.9,5.2,0.1910828025477707,9.044585987261145,non_coal,mining
Cowra,11063,3741.942932,1698.446622,5440.389553999999,68.78,31.22,63.6,5.18,0,0.347112653834017,non_coal,non_mining
Panania - Milperra - Picnic Point,11359,8012.595418,6105.330911,14117.926329,56.75,43.25,51.57,5.18,0,0.043010752688172046,non_coal,non_mining
Hillcrest,31316,1629.286155,1649.914067,3279.200222,49.69,50.31,44.51,5.18,0.2924754054772667,0.5583621377293273,non_coal,non_mining
Clare,41116,1383.736467,607.103447,1990.839914,69.51,30.49,64.33,5.18,0.22383883603805263,2.518186905428092,non_coal,mining
Lyndoch,41112,1851.04779,1388.099811,3239.147601,57.15,42.85,51.98,5.17,0.22058823529411764,1.4338235294117647,non_coal,non_mining
Richardson,81087,800.7571896,992.7935831,1793.5507727,44.65,55.35,39.49,5.16,0,0,non_coal,non_mining
Warners Bay - Boolaroo,11214,3858.264144,4196.233758,8054.497902000001,47.9,52.1,42.75,5.15,2.342807924203273,2.7045650301464255,coal,mining
Port Kennedy,51187,2503.761097,3399.697568,5903.458665,42.41,57.59,37.26,5.15,0.07123775601068566,6.482635796972396,non_coal,mining
Ipswich - Central,31286,1441.353485,1792.451851,3233.8053360000004,44.57,55.43,39.44,5.13,0.32733224222585927,0.32733224222585927,non_coal,non_mining
Penguin - Sulphur Creek,61079,1723.692331,1527.549713,3251.242044,53.02,46.98,47.89,5.13,0,3.355032548823235,non_coal,mining
Morayfield,31374,1491.855094,1352.690347,2844.545441,52.45,47.55,47.33,5.12,0.4026845637583893,1.3870246085011184,non_coal,non_mining
Barmera,41159,2503.438215,1013.078193,3516.5164080000004,71.19,28.81,66.07,5.12,0.11450381679389314,1.2595419847328244,non_coal,non_mining
Sylvania - Taren Point,11531,6773.51102,2428.25276,9201.76378,73.61,26.39,68.5,5.11,0,0.0903886712865321,non_coal,non_mining
Smithfield Industrial,11486,1.638141472,1.88824434,3.526385812,46.45,53.55,41.36,5.09,NaN,NA,NA,NA
Middle Swan - Herne Hill,51065,1308.954522,1109.73952,2418.694042,54.12,45.88,49.03,5.09,0,4.483695652173913,non_coal,mining
Romaine - Havenview,61080,1033.696251,1140.667802,2174.3640530000002,47.54,52.46,42.45,5.09,0,4.499274310595065,non_coal,mining
Glass House Mountains,31441,1982.584133,1311.278465,3293.862598,60.19,39.81,55.12,5.07,0.7758620689655172,1.7241379310344827,coal,non_mining
Cambooya - Wyreema,31445,2780.285534,1091.388477,3871.674011,71.81,28.19,66.75,5.06,0.6005056890012642,2.402022756005057,coal,mining
Mundingburra,31485,1012.909592,819.3175308,1832.2271228,55.28,44.72,50.23,5.05,0.5065123010130246,1.6642547033285093,non_coal,non_mining
Kadina,41124,1293.705616,704.9442318,1998.6498477999999,64.73,35.27,59.72,5.01,0,1.6264428121720882,non_coal,non_mining
Blue Haven - San Remo,11045,2362.387581,3419.77667,5782.164251,40.86,59.14,35.86,5,0.421446967923203,0.9833762584874737,non_coal,non_mining
Gorokan - Kanwal - Charmhaven,11048,5322.588318,6789.298094,12111.886412,43.95,56.05,38.96,4.99,0.2943434860506783,0.6014845149731252,non_coal,non_mining
Nudgee - Banyo,31039,2419.998274,2843.005303,5263.0035769999995,45.98,54.02,40.99,4.99,0.41394335511982566,1.0893246187363834,non_coal,non_mining
Guildford West - Merrylands West,11484,3383.4618,4512.808748,7896.270548,42.85,57.15,37.87,4.98,0.041603106365275276,0.1664124254611011,non_coal,non_mining
Kincumber - Picketts Valley,11034,2441.029487,1900.257853,4341.28734,56.23,43.77,51.26,4.97,0.1885369532428356,0.49019607843137253,non_coal,non_mining
Bullsbrook,51058,1421.606394,856.7165795,2278.3229735,62.4,37.6,57.44,4.96,0.261437908496732,6.44880174291939,non_coal,mining
Warnbro,51193,2059.711379,2945.674854,5005.386232999999,41.15,58.85,36.2,4.95,0,6.3834893208543315,non_coal,mining
Peterborough - Mount Remarkable,41121,1977.399437,892.3365951,2869.7360321,68.91,31.09,63.98,4.93,0.4151530877010898,2.6466009340944474,non_coal,mining
Runcorn,31078,2425.566606,2618.48486,5044.051466,48.09,51.91,43.17,4.92,0.23752969121140144,0.6017418844022169,non_coal,non_mining
Young Region,11544,2880.677294,1354.119055,4234.796349,68.02,31.98,63.15,4.87,0.13582342954159593,1.2224108658743633,non_coal,non_mining
Inverell Region - West,11193,2402.226296,655.1323095,3057.3586054999996,78.57,21.43,73.73,4.84,0.32634032634032634,0.5594405594405595,non_coal,non_mining
Millmerran,31181,986.2802907,336.8059227,1323.0862134,74.54,25.46,69.7,4.84,2.78853601859024,4.260263361735089,coal,mining
Camillo - Champion Lakes,51112,970.7017739,1554.409367,2525.1111409,38.44,61.56,33.6,4.84,0,4.485981308411215,non_coal,mining
Ashburton (WA),51271,930.9800881,665.7910509,1596.771139,58.3,41.7,53.46,4.84,0.43087061208972244,36.07907742998353,non_coal,mining
Alexandra Hills,31001,4966.847631,3776.780981,8743.628612,56.81,43.19,51.98,4.83,0.20444671607462306,0.7283414260158446,non_coal,non_mining
Munno Para West - Angle Vale,41032,2319.848627,3875.734596,6195.583223,37.44,62.56,32.61,4.83,0,0.9872241579558653,non_coal,non_mining
Bertram - Wellard (West),51169,2220.858484,3472.335954,5693.194438,39.01,60.99,34.18,4.83,0.0459911083857121,4.7677449026521534,non_coal,mining
Maitland - East,11115,7353.617216,9644.929075,16998.546291,43.26,56.74,38.47,4.79,4.858618576556071,5.699028276284689,coal,mining
Prospect Vale - Blackstone,61044,2087.468901,1795.128387,3882.597288,53.76,46.24,48.97,4.79,0,0.7099751508697196,non_coal,non_mining
Woolgoolga - Arrawarra,11091,3994.60239,3023.052209,7017.6545989999995,56.92,43.08,52.15,4.77,0.08816398501212255,0.3085739475424289,non_coal,non_mining
Auburn - South,11584,1098.831882,2119.058188,3217.89007,34.15,65.85,29.38,4.77,0,0,non_coal,non_mining
Quirindi,11201,2813.853092,1374.310907,4188.163999,67.19,32.81,62.43,4.76,2.7628274129888766,3.659849300322928,coal,mining
Keilor,21228,2100.598197,2270.90392,4371.502117,48.05,51.95,43.29,4.76,0,0.13550135501355012,non_coal,non_mining
Raymond Terrace,11122,3365.344036,4572.773619,7938.117655,42.39,57.61,37.64,4.75,1.2428687856560716,2.037489812550937,coal,non_mining
Parmelia - Orelia,51174,1650.271386,2991.682543,4641.953928999999,35.55,64.45,30.8,4.75,0.07712082262210797,4.190231362467866,non_coal,mining
Alligator,71057,643.5435487,855.9790305,1499.5225792,42.92,57.08,38.17,4.75,0,12.836970474967908,non_coal,mining
Stafford Heights,31033,1966.783327,1884.358891,3851.142218,51.07,48.93,46.34,4.73,0.357839947950553,0.5855562784645413,non_coal,non_mining
Wakefield - Barunga West,41119,3280.44269,1420.82864,4701.27133,69.78,30.22,65.05,4.73,0,1.22228538942581,non_coal,non_mining
Griffith Region,11257,4883.116473,1604.926464,6488.042937,75.26,24.74,70.54,4.72,0,0.22000338466745645,non_coal,non_mining
Kingston (Qld.),31330,1148.820127,2445.160383,3593.98051,31.97,68.03,27.25,4.72,0,0.13995801259622112,non_coal,non_mining
Pinjarra,51029,2943.847338,1866.652005,4810.4993429999995,61.2,38.8,56.48,4.72,0.08828722778104767,12.301353737492644,non_coal,mining
Kurrajong Heights - Ebenezer,11300,8540.852503,4692.332116,13233.184619,64.54,35.46,59.83,4.71,0.046451133407655144,0.32515793385358605,non_coal,non_mining
Bonnyrigg Heights - Bonnyrigg,11509,2831.838348,4782.569789,7614.408137,37.19,62.81,32.48,4.71,0,0,non_coal,non_mining
Laurieton - Bonny Hills,11162,7593.800701,3656.514916,11250.315617,67.5,32.5,62.8,4.7,0.25038520801232667,0.75115562403698,non_coal,non_mining
Port Macquarie Region,11165,2339.25794,856.2001304,3195.4580704,73.21,26.79,68.51,4.7,0.19258545979778527,0.33702455464612424,non_coal,non_mining
St Marys - North St Marys,11581,3026.017073,3638.286172,6664.303245,45.41,54.59,40.71,4.7,0,0.05274261603375527,non_coal,non_mining
Paradise Point - Hollywell,31239,3864.034953,1588.667448,5452.702401,70.86,29.14,66.16,4.7,0.17592359889419454,0.8042221663734606,non_coal,non_mining
Carabooda - Pinjar,51256,166.7711534,141.527383,308.2985364,54.09,45.91,49.39,4.7,0,1.1406844106463878,non_coal,non_mining
Moree Region,11196,1780.100356,447.9772669,2228.0776229,79.89,20.11,75.2,4.69,0,0.303951367781155,non_coal,non_mining
Chester Hill - Sefton,11479,2592.75179,5321.75487,7914.506659999999,32.76,67.24,28.08,4.68,0,0,non_coal,non_mining
Chermside West,31029,1830.377126,1695.628444,3526.0055700000003,51.91,48.09,47.24,4.67,0.38049117952265654,1.0031131096506398,non_coal,non_mining
Manly West,31016,3476.074087,2844.821906,6320.895993,54.99,45.01,50.33,4.66,0.36377560788818686,1.0721807390388665,non_coal,non_mining
Northam,51243,3042.493719,1891.208668,4933.702387,61.67,38.33,57.01,4.66,0,4.572417202174988,non_coal,mining
Miandetta - Don,61088,1122.765296,1011.0187,2133.783996,52.62,47.38,47.96,4.66,0,1.2116892373485388,non_coal,non_mining
Kariong,11033,1811.651959,1583.188766,3394.840725,53.36,46.64,48.72,4.64,0.2031832035218422,0.2031832035218422,non_coal,non_mining
Parklands - Camdale,61078,1829.941704,1922.523909,3752.4656130000003,48.77,51.23,44.13,4.64,0,3.036876355748373,non_coal,mining
Southern Downs - West,31186,1885.877221,638.8882788,2524.7654998,74.7,25.3,70.07,4.63,0.5662514156285391,1.6421291053227631,coal,non_mining
Woodford - D'Aguilar,31371,1994.12331,1451.903518,3446.026828,57.87,42.13,53.24,4.63,0.7150922092585623,2.2958223560406474,coal,mining
Drayton - Harristown,31447,3369.916609,1705.406971,5075.32358,66.4,33.6,61.77,4.63,0.2869814766501435,1.6175319593008088,non_coal,non_mining
Scone Region,11129,2937.98205,1302.861305,4240.843355,69.28,30.72,64.66,4.62,10.932475884244374,11.51710026308097,coal,mining
Capalaba,31004,5376.608891,4009.729925,9386.338816,57.28,42.72,52.66,4.62,0.1765952437014363,0.8005651047798447,non_coal,non_mining
Geebung,31030,1072.040707,1174.884496,2246.925203,47.71,52.29,43.09,4.62,0,0.36231884057971014,non_coal,non_mining
Renmark Region,41168,1877.681219,770.677098,2648.358317,70.9,29.1,66.28,4.62,0,0.7562277580071174,non_coal,non_mining
Junee,11265,2147.277335,944.55640760000006,3091.8337426000003,69.45,30.55,64.85,4.6,0,0.2805049088359046,non_coal,non_mining
Bankstown - South,11572,1971.684361,4311.420362,6283.104723,31.38,68.62,26.78,4.6,0,0,non_coal,non_mining
Badgerys Creek,11592,2.783701323,0.907588517,3.6912898399999996,75.41,24.59,70.82,4.59,0,0,non_coal,non_mining
Malmalling - Reservoir,51052,3.926302916,2.747144409,6.673447325,58.83,41.17,54.25,4.58,NaN,NA,NA,NA
Windsor - Bligh Park,11467,4911.290693,3407.237141,8318.527834,59.04,40.96,54.48,4.56,0.056171885971071485,0.1825586294059823,non_coal,non_mining
Logan Central,31331,656.897297,1379.96679,2036.864087,32.25,67.75,27.69,4.56,0.29784065524944153,0.29784065524944153,non_coal,non_mining
Parkes (NSW),11067,4528.582552,1782.265962,6310.848513999999,71.76,28.24,67.21,4.55,0.2862595419847328,9.064885496183205,non_coal,mining
Stratton - Jane Brook,51067,1691.030316,1622.4139500000001,3313.4442660000004,51.04,48.96,46.49,4.55,0.0959079283887468,4.923273657289003,non_coal,mining
Gin Gin,31504,1342.712385,963.3490394,2306.0614244,58.23,41.77,53.69,4.54,2.264685067232838,5.166312809624912,coal,mining
Loxton,41162,2232.242567,715.9176734,2948.1602403999996,75.72,24.28,71.18,4.54,0,0.7363092498849517,non_coal,non_mining
Norwood (Tas.),61043,1301.226246,1105.989928,2407.216174,54.06,45.94,49.52,4.54,0,0,non_coal,non_mining
Wallaroo,41126,1111.994473,774.38173,1886.3762029999998,58.95,41.05,54.42,4.53,0.34334763948497854,3.4334763948497855,non_coal,mining
Glendale - Cardiff - Hillsborough,11209,5322.560444,7705.312565,13027.873008999999,40.86,59.14,36.34,4.52,1.952298518945951,2.452394691286786,coal,mining
Belgian Gardens - Pallarenda,31469,1032.159578,729.8822448,1762.0418227999999,58.58,41.42,54.06,4.52,0.31201248049922,1.1700468018720749,non_coal,non_mining
Aroona - Currimundi,31417,3446.258167,2078.977932,5525.236099,62.37,37.63,57.86,4.51,0.4847309743092583,1.0664081434803683,non_coal,non_mining
Merrylands - Holroyd,11485,4717.543161,5880.161603,10597.704763999998,44.51,55.49,40.01,4.5,0,0.07547169811320754,non_coal,non_mining
Murrumba Downs - Griffin,31389,4568.051017,3845.836773,8413.88779,54.29,45.71,49.79,4.5,0.32608695652173914,1.0990338164251208,non_coal,non_mining
Loxton Region,41163,576.6295683,210.4486066,787.0781749,73.26,26.74,68.76,4.5,0,0,non_coal,non_mining
Conder,81075,1392.281945,1664.603721,3056.885666,45.55,54.45,41.06,4.49,0,0.2288329519450801,non_coal,non_mining
Bargara - Burnett Heads,31493,6399.883231,3612.725095,10012.608326,63.92,36.08,59.45,4.47,1.1658456486042694,1.921182266009852,coal,non_mining
Yagoona - Birrong,11361,2868.050596,6136.712034,9004.762630000001,31.85,68.15,27.39,4.46,0,0,non_coal,non_mining
Roselands,11367,2291.265083,3648.477661,5939.742743999999,38.58,61.42,34.12,4.46,0,0.17097264437689969,non_coal,non_mining
Belmont - Gumdale,31002,2277.828784,1447.658846,3725.4876299999996,61.14,38.86,56.68,4.46,0.42194092827004215,1.2658227848101267,non_coal,non_mining
Millbank - Avoca,31500,2557.062601,1532.720517,4089.7831180000003,62.52,37.48,58.06,4.46,1.0265183917878529,1.5825491873396065,coal,non_mining
Bankstown - North,11571,1811.771723,4051.957516,5863.729239,30.9,69.1,26.46,4.44,0,0,non_coal,non_mining
Sunnybank,31079,1555.091376,1506.639996,3061.731372,50.79,49.21,46.35,4.44,0.3859857482185273,0.504750593824228,non_coal,non_mining
Dowerin,51238,1401.751316,318.7353754,1720.4866914000002,81.47,18.53,77.03,4.44,0,1.3863773357444245,non_coal,non_mining
Caringbah,11602,4372.810366,1908.18244,6280.992806,69.62,30.38,65.19,4.43,0.06975933031042902,0.06975933031042902,non_coal,non_mining
Brisbane Airport,31036,22.8867054,26.23329809,49.12000349,46.59,53.41,42.16,4.43,0,0,non_coal,non_mining
Renmark,41167,1638.7763420000001,753.4769831,2392.2533251,68.5,31.5,64.07,4.43,0,0,non_coal,non_mining
Banks,81071,1332.325085,1598.382537,2930.707622,45.46,54.54,41.05,4.41,0,0,non_coal,non_mining
Richmond (Vic.),21144,5574.257183,9504.090269,15078.347452,36.97,63.03,32.58,4.39,0,0.22687029659141214,non_coal,non_mining
Aspley,31027,3693.690831,2937.000602,6630.691433,55.71,44.29,51.32,4.39,0.5403458213256485,1.2427953890489913,non_coal,non_mining
Townsville City - North Ward,31490,2635.816548,1859.636256,4495.452804,58.63,41.37,54.25,4.38,0.4163014899211218,1.8185801928133218,non_coal,non_mining
Gingin - Dandaragan,51239,2709.049045,990.4252011,3699.4742461,73.23,26.77,68.85,4.38,0.09113001215066828,6.136087484811665,non_coal,mining
Eden,11023,987.1982177,802.9824108,1790.1806285,55.15,44.85,50.78,4.37,0,0.2964426877470355,non_coal,non_mining
Roxby Downs,41143,1041.77664,455.7585703,1497.5352103,69.57,30.43,65.2,4.37,1.191043353978085,54.45450214387804,coal,mining
Scone,11128,2135.674713,963.4095128,3099.0842258,68.91,31.09,64.55,4.36,12.641357027463652,13.287560581583199,coal,mining
Bundaberg Region - North,31498,2886.870462,1875.016466,4761.886928,60.62,39.38,56.26,4.36,1.95364238410596,2.682119205298013,coal,mining
Naracoorte Region,41155,984.7891286,230.0317542,1214.8208828,81.06,18.94,76.72,4.34,0,0,non_coal,non_mining
Bonnells Bay - Silverwater,11216,2674.705871,2403.529063,5078.234934,52.67,47.33,48.34,4.33,2.035928143712575,2.4550898203592815,coal,mining
Seville Grove,51117,1710.158779,2610.459675,4320.618454,39.58,60.42,35.25,4.33,0,4.264292408622305,non_coal,mining
Slacks Creek,31333,1476.781659,2383.467773,3860.2494319999996,38.26,61.74,33.94,4.32,0,0.24972253052164264,non_coal,non_mining
Sydenham,21339,1690.843512,3208.710028,4899.55354,34.51,65.49,30.2,4.31,0,0.11529592621060722,non_coal,non_mining
Ashfield - Kepnock,31492,1749.078312,1115.437482,2864.515794,61.06,38.94,56.75,4.31,0.8999470619375332,1.9057702488088937,coal,non_mining
Theodore,81088,1031.104448,1276.65481,2307.759258,44.68,55.32,40.37,4.31,0,0,non_coal,non_mining
Umina - Booker Bay - Patonga,11040,6943.673357,7021.921321,13965.594678,49.72,50.28,45.42,4.3,0.06935614379840481,0.19650907409548027,non_coal,non_mining
Upper Caboolture,31376,871.9504146,765.3903769,1637.3407915,53.25,46.75,48.95,4.3,0.3750937734433608,0.8252063015753939,non_coal,non_mining
Murray Bridge Region,41166,1302.989056,589.9111764,1892.9002323999998,68.84,31.16,64.54,4.3,0,1.8068535825545171,non_coal,non_mining
Stafford,31032,1571.251097,1600.016708,3171.2678050000004,49.55,50.45,45.26,4.29,0.3678724708767627,1.3182096873084,non_coal,non_mining
Ardeer - Albion,21328,982.1023376,2014.952837,2997.0551746,32.77,67.23,28.49,4.28,0,0,non_coal,non_mining
Tully,31161,3666.651104,1919.929908,5586.581012000001,65.63,34.37,61.35,4.28,0.6770954938127481,2.194723324772356,coal,mining
Wentworthville - Westmead,11589,2333.131669,3509.071441,5842.20311,39.94,60.06,35.68,4.26,0.061929091190586774,0.10837590958352686,non_coal,non_mining
Butler - Merriwa - Ridgewood,51099,4737.108101,4259.45744,8996.565541,52.65,47.35,48.4,4.25,0.14245014245014245,5.807582730659654,non_coal,mining
Oatlands - Dundas Valley,11478,4225.165238,3555.947364,7781.112601999999,54.3,45.7,50.06,4.24,0,0.039973351099267154,non_coal,non_mining
Waroona,51016,1278.303981,706.628201,1984.932182,64.4,35.6,60.16,4.24,0,13.284864507600794,non_coal,mining
Craigmore - Blakeview,41028,3331.844368,6362.011327,9693.855695,34.37,65.63,30.14,4.23,0.06233636703652911,0.5111582096995387,non_coal,non_mining
Seymour,21059,2216.550728,1504.715979,3721.266707,59.56,40.44,55.34,4.22,0,0.13181019332161686,non_coal,non_mining
Yea,21062,994.6346624,621.0828885,1615.7175508999999,61.56,38.44,57.34,4.22,0,0.6172839506172839,non_coal,non_mining
Cornubia - Carbrook,31324,2866.69097,1640.83897,4507.52994,63.6,36.4,59.39,4.21,0.2619671350321505,0.8335317932841153,non_coal,non_mining
Turners Beach - Forth,61092,1193.360031,866.21384,2059.573871,57.94,42.06,53.73,4.21,0,1.7843866171003717,non_coal,non_mining
Woodridge,31336,1279.793705,2724.66894,4004.462645,31.96,68.04,27.76,4.2,0.11627906976744186,0.436046511627907,non_coal,non_mining
Halls Head - Erskine,51024,6217.752897,3747.621188,9965.374085,62.39,37.61,58.19,4.2,0.11494252873563218,10.201149425287356,non_coal,mining
Molonglo - North,81138,0.45917796,0.488408556,0.947586516,48.46,51.54,44.28,4.18,NaN,NA,NA,NA
Carseldine,31024,2721.531908,1651.052629,4372.584537,62.24,37.76,58.07,4.17,0.2994759171449962,0.9483404042924881,non_coal,non_mining
Yanchep,51258,2191.590012,1636.831826,3828.421838,57.25,42.75,53.09,4.16,0.14289797084881395,8.20234352672192,non_coal,mining
Lismore,11248,4837.326052,4526.978418,9364.30447,51.66,48.34,47.51,4.15,0.06960153123368715,0.1392030624673743,non_coal,non_mining
Bridgeman Downs,31023,2823.862373,1647.71542,4471.577793,63.15,36.85,59,4.15,0.38860103626943004,1.3471502590673576,non_coal,non_mining
Devonport,61085,4223.507165,3978.521912,8202.029077,51.49,48.51,47.34,4.15,0.08171603677221655,1.2053115423901941,non_coal,non_mining
Wavell Heights,31034,2652.555906,2673.982796,5326.538702,49.8,50.2,45.66,4.14,0.48691418137553255,1.379590180564009,non_coal,non_mining
Mindarie - Quinns Rocks - Jindalee,51105,5078.178092,3489.144961,8567.323053,59.27,40.73,55.13,4.14,0,5.852075640595277,non_coal,mining
North Lakes - Mango Hill,31390,8293.700386,5589.305184,13883.005570000001,59.74,40.26,55.61,4.13,0.5980688860066292,1.621271076523995,coal,non_mining
Isabella Plains,81081,1134.983689,1438.202439,2573.186128,44.11,55.89,39.98,4.13,0,0,non_coal,non_mining
Chipping Norton - Moorebank,11523,5245.513247,3870.572919,9116.086166000001,57.54,42.46,53.42,4.12,0,0.10944910616563297,non_coal,non_mining
Landsborough,31442,3525.705441,2406.201135,5931.906575999999,59.44,40.56,55.32,4.12,0.9776536312849162,2.188081936685289,coal,mining
Nambour,31548,6673.255467,4244.98892,10918.244386999999,61.12,38.88,57,4.12,0.5113781641523907,0.9716185118895424,non_coal,non_mining
Davoren Park,41029,2323.381008,5385.247122,7708.628129999999,30.14,69.86,26.02,4.12,0,0.7176581680830972,non_coal,non_mining
Gidgegannup,51060,936.9353835,520.3386366,1457.2740201,64.29,35.71,60.17,4.12,0,7.093292212798766,non_coal,mining
Mortdale - Penshurst,11369,6666.930826,5220.401123,11887.331949,56.08,43.92,51.97,4.11,0,0.06099686301847334,non_coal,non_mining
Berri,41160,1317.056876,705.3631098,2022.4199858000002,65.12,34.88,61.01,4.11,0,0,non_coal,non_mining
South Hedland,51270,1595.106889,1449.404522,3044.511411,52.39,47.61,48.28,4.11,0.4892367906066536,25.929549902152644,non_coal,mining
Cooma Region,11015,1167.695752,874.7978559,2042.4936079,57.17,42.83,53.07,4.1,0,0.42583392476933996,non_coal,non_mining
Hinchinbrook,11595,2927.314629,3493.658701,6420.97333,45.59,54.41,41.5,4.09,0,0.07756447547023464,non_coal,non_mining
Rowville - South,21258,3672.77429,2110.15623,5782.93052,63.51,36.49,59.42,4.09,0,0,non_coal,non_mining
Singleton - Golden Bay - Secret Harbour,51191,3925.559405,4496.169479,8421.728884,46.61,53.39,42.52,4.09,0.09013068949977468,8.23569175304191,non_coal,mining
Rockingham Lakes,51189,0.477272727,0.468102073,0.9453748,50.49,49.51,46.41,4.08,NaN,NA,NA,NA
Woy Woy - Blackwall,11042,4024.021261,4077.0069,8101.028161,49.67,50.33,45.6,4.07,0,0.06008411776487082,non_coal,non_mining
Cabramatta West - Mount Pritchard,11512,2417.381171,5206.246045,7623.627216,31.71,68.29,27.64,4.07,0.054945054945054944,0.10989010989010989,non_coal,non_mining
Macgregor (Qld),31061,1076.468333,1035.170721,2111.639054,50.98,49.02,46.91,4.07,0.26595744680851063,0.9308510638297872,non_coal,non_mining
Sunnybank Hills,31080,3385.808362,3136.855574,6522.663936000001,51.91,48.09,47.84,4.07,0.1380071763731714,0.40022081148219707,non_coal,non_mining
Darling Heights,31446,4158.570343,2001.966817,6160.53716,67.5,32.5,63.43,4.07,0.3396867333459143,1.151160596338932,non_coal,non_mining
Wyong,11057,2229.791123,2620.365128,4850.156251,45.97,54.03,41.91,4.06,0.2578981302385558,0.3546099290780142,non_coal,non_mining
Calista,51170,1070.641163,2033.752032,3104.393195,34.49,65.51,30.43,4.06,0.11636927851047324,3.801396431342126,non_coal,mining
Blacktown (South),11560,2266.113481,3460.824641,5726.938122,39.57,60.43,35.53,4.04,0,0.059964021587047764,non_coal,non_mining
Goodna,31300,1321.609027,2304.317938,3625.926965,36.45,63.55,32.41,4.04,0.2333722287047841,0.5542590431738623,non_coal,non_mining
Peakhurst - Lugarno,11372,6257.735607,4141.18041,10398.916017,60.18,39.82,56.15,4.03,0.06454111268878275,0.06454111268878275,non_coal,non_mining
St Johns Park - Wakeley,11520,1818.912854,3658.856835,5477.769689,33.21,66.79,29.18,4.03,0,0,non_coal,non_mining
Shailer Park,31327,3485.297615,2315.697987,5800.995602,60.08,39.92,56.05,4.03,0.18478078279858895,0.537544095414077,non_coal,non_mining
Roebourne,51273,747.4828862,615.8766886,1363.3595748,54.83,45.17,50.8,4.03,0,54.23524688879968,non_coal,mining
Wakerley,31019,2549.752392,1514.272438,4064.02483,62.74,37.26,58.72,4.02,0.5271602108640843,2.200320880128352,non_coal,mining
Toowoomba - Central,31456,4767.90775,2354.994803,7122.902553,66.94,33.06,62.92,4.02,0.33958891867739055,1.3047363717605005,non_coal,non_mining
Beauty Point - Beaconsfield,61053,1217.968214,1130.881317,2348.849531,51.85,48.15,47.83,4.02,0,3.324348607367475,non_coal,mining
Goonellabah,11246,4359.42364,3609.683469,7969.1071090000005,54.7,45.3,50.69,4.01,0.0757719265012313,0.4735745406326956,non_coal,non_mining
Liverpool,11598,3186.929072,6077.377054,9264.306126,34.4,65.6,30.39,4.01,0,0.21551724137931033,non_coal,non_mining
Deer Park - Derrimut,21330,2695.243631,6413.664706,9108.908336999999,29.59,70.41,25.58,4.01,0,0.11972463334331039,non_coal,non_mining
Lawnton,31392,1586.581024,1633.372666,3219.9536900000003,49.27,50.73,45.26,4.01,0.12135922330097086,0.48543689320388345,non_coal,non_mining
Bundaberg East - Kalkie,31496,1868.042239,1119.523031,2987.56527,62.53,37.47,58.52,4.01,0.918762088974855,1.3056092843326885,coal,non_mining
Caloundra - West,31420,7532.032514,4520.110797,12052.143311,62.5,37.5,58.5,4,0.766191787381779,2.083083921944212,coal,mining
Cooma,11014,2166.498745,1732.107835,3898.6065799999997,55.57,44.43,51.58,3.99,0,0.18188432157148052,non_coal,non_mining
West Hoxton - Middleton Grange,11597,3628.924045,3599.270366,7228.194411,50.21,49.79,46.22,3.99,0,0.10338207059518535,non_coal,non_mining
