region,SA2_5DIG16,v_lnp_sa2,v_alp_sa2,v_t_sa2,p_lnp_sa2,p_alp_sa2,p_lnp_sa2_16,swing,coal,mining,coal_lab,min_lab
Eungella Hinterland,31345,3.038718548,1.579000574,4.617719122,65.81,34.19,54.19,11.62,0,0,non_coal,non_mining
Balonne,31171,1328.761017,487.0973293,1815.8583463,73.18,26.82,61.6,11.58,0,0.199203187250996,non_coal,non_mining
Rockhampton - West,31216,1852.761157,1388.664823,3241.42598,57.16,42.84,45.7,11.46,3.8126813095731453,4.3928719436386245,coal,mining
Townsville - South,31489,1429.494694,729.873061,2159.367755,66.2,33.8,54.83,11.37,0.6900212314225054,3.343949044585987,coal,mining
Grafton Region,11081,6262.896154,3364.973972,9627.870126,65.05,34.95,53.73,11.32,0.05628517823639775,0.5440900562851783,non_coal,non_mining
Seaforth - Calen,31353,2909.298876,1398.881734,4308.180609999999,67.53,32.47,56.21,11.32,11.997635933806148,13.534278959810875,coal,mining
Kurri Kurri - Abermain,11111,3797.792007,6983.782113,10781.574120000001,35.22,64.78,24.07,11.15,6.576492537313433,7.695895522388059,coal,mining
Norman Gardens,31213,3174.223494,2194.823831,5369.047325,59.12,40.88,47.99,11.13,3.7086386853208975,4.952254052853653,coal,mining
Rockhampton City,31217,985.002799,712.5392923,1697.5420913,58.03,41.97,46.94,11.09,1.939864209505335,1.939864209505335,coal,non_mining
Far South West,31411,629.7921354,300.0233283,929.8154637,67.73,32.27,56.64,11.09,0,1.7067494181536074,non_coal,non_mining
Moranbah,31341,1679.463337,1794.698618,3474.1619549999996,48.34,51.66,37.32,11.02,41.18217054263566,44.40406976744186,coal,mining
Muswellbrook Region,11127,1115.56708,1073.294768,2188.861848,50.97,49.03,40.01,10.96,18.181818181818183,20.011806375442738,coal,mining
Cessnock Region,11109,2051.467201,2471.999921,4523.467122,45.35,54.65,34.43,10.92,6.235790841182202,6.917830464436506,coal,mining
Glenlee - Rockyview,31209,1454.657364,909.0947818,2363.7521458,61.54,38.46,50.62,10.92,6.229036895064686,8.624820316243412,coal,mining
