SA2_5digitcode_2016,ALP_TPP_2019,LNP_TPP_2019,ALP_TPP_2019_pc,LNP_TPP_2019_pc,ALP_TPP_2016_pc,LNP_TPP_2016_pc,ALP_TPP_swing,LNP_TPP_swing
81036,1767.915651,1302.551026,57.58,42.42,57.69,42.31,-0.11,0.11
81037,1373.584278,934.3128966,59.52,40.48,60.2,39.8,-0.68,0.68
81038,1231.124809,975.0577461,55.8,44.2,54.82,45.18,0.98,-0.98
81039,1794.068525,1265.539577,58.64,41.36,57.79,42.21,0.85,-0.85
81040,1735.614763,1270.305218,57.74,42.26,57.87,42.13,-0.13,0.13
81043,109.7736817,86.62955724,55.89,44.11,58.32,41.68,-2.43,2.43
81044,2103.799725,1482.562172,58.66,41.34,57.85,42.15,0.81,-0.81
81045,2.4479569,1.454792234,62.72,37.28,63.32,36.68,-0.6,0.6
81046,3491.247575,2362.852455,59.64,40.36,60.21,39.79,-0.57,0.57
81047,2397.658449,1886.775711,55.96,44.04,55.48,44.52,0.48,-0.48
81048,1900.652425,1324.617677,58.93,41.07,59.29,40.71,-0.36,0.36
81049,391.1070088,142.7993779,73.25,26.75,66.13,33.87,7.12,-7.12
81050,2390.734818,825.3857116,74.34,25.66,68.28,31.72,6.06,-6.06
81051,2119.074685,768.9379523,73.37,26.63,66.45,33.55,6.92,-6.92
81053,1030.231251,416.6509061,71.2,28.8,64.03,35.97,7.17,-7.17
81054,1167.122863,429.2821728,73.11,26.89,68.41,31.59,4.7,-4.7
81055,1627.959721,560.7346579,74.38,25.62,69.03,30.97,5.35,-5.35
81056,1349.544497,472.1656816,74.08,25.92,68.51,31.49,5.57,-5.57
81057,2143.166546,792.6945865,73,27,68.34,31.66,4.66,-4.66
81058,2508.6432,859.1273066,74.49,25.51,69.53,30.47,4.96,-4.96
81060,1685.916598,590.878935,74.05,25.95,68.29,31.71,5.76,-5.76
81061,2324.841612,872.5407552,72.71,27.29,67.13,32.87,5.58,-5.58
81062,1008.177443,831.3800431,54.81,45.19,51.05,48.95,3.76,-3.76
81063,657.3883362,411.949236,61.48,38.52,55.34,44.66,6.14,-6.14
81064,1834.677887,1056.962264,63.45,36.55,57.21,42.79,6.24,-6.24
81067,2075.377335,1174.299328,63.86,36.14,59.58,40.42,4.28,-4.28
81069,1027.000837,658.4678964,60.93,39.07,55.77,44.23,5.16,-5.16
81070,1131.897341,820.7487679,57.97,42.03,53.89,46.11,4.08,-4.08
81071,1598.382537,1332.325085,54.54,45.46,58.95,41.05,-4.41,4.41
81072,1332.374686,986.2980563,57.46,42.54,59.58,40.42,-2.12,2.12
81073,1969.347519,1561.371803,55.78,44.22,58.62,41.38,-2.84,2.84
81074,1741.653488,1401.426011,55.41,44.59,58.71,41.29,-3.3,3.3
81075,1664.603721,1392.281945,54.45,45.55,58.94,41.06,-4.49,4.49
81076,1051.798942,858.0002135,55.07,44.93,54.21,45.79,0.86,-0.86
81077,901.1232251,736.8286678,55.02,44.98,57.43,42.57,-2.41,2.41
81078,2605.759232,2161.308097,54.66,45.34,58.53,41.47,-3.87,3.87
81079,1067.674002,842.2249337,55.9,44.1,57.78,42.22,-1.88,1.88
81080,909.9958928,722.3246692,55.75,44.25,59.17,40.83,-3.42,3.42
81081,1438.202439,1134.983689,55.89,44.11,60.02,39.98,-4.13,4.13
81082,5495.786008,3868.143683,58.69,41.31,60.01,39.99,-1.32,1.32
81083,497.2906235,405.2143708,55.1,44.9,55.44,44.56,-0.34,0.34
81084,1875.670627,1540.431978,54.91,45.09,57.46,42.54,-2.55,2.55
81086,576.292154,460.236482,55.6,44.4,58.46,41.54,-2.86,2.86
81087,992.7935831,800.7571896,55.35,44.65,60.51,39.49,-5.16,5.16
81088,1276.65481,1031.104448,55.32,44.68,59.63,40.37,-4.31,4.31
81089,11.06803453,8.841449884,55.59,44.41,58.41,41.59,-2.82,2.82
81090,2694.10669,1960.561523,57.88,42.12,59.19,40.81,-1.31,1.31
81091,1085.584292,692.226508,61.06,38.94,58.16,41.84,2.9,-2.9
81092,1295.606836,682.0780639,65.51,34.49,61.55,38.45,3.96,-3.96
81093,1073.813382,668.4199608,61.63,38.37,59.05,40.95,2.58,-2.58
81094,970.3371722,640.5965168,60.23,39.77,58.38,41.62,1.85,-1.85
81095,1178.748429,752.2712978,61.04,38.96,58.79,41.21,2.25,-2.25
81096,721.2339217,479.2668389,60.08,39.92,58.74,41.26,1.34,-1.34
81097,978.7944655,574.9665411,63,37,59.67,40.33,3.33,-3.33
81098,1282.423815,850.4725719,60.13,39.87,59.28,40.72,0.85,-0.85
81099,830.272481,561.0668977,59.67,40.33,58.35,41.65,1.32,-1.32
81100,2069.102227,1152.321203,64.23,35.77,60.9,39.1,3.33,-3.33
81101,1177.568377,853.9478543,57.96,42.04,55.63,44.37,2.33,-2.33
81102,1142.871156,740.8797075,60.67,39.33,57.02,42.98,3.65,-3.65
81103,1065.399808,674.0858581,61.25,38.75,58.8,41.2,2.45,-2.45
81104,888.1402637,637.7863538,58.2,41.8,56.82,43.18,1.38,-1.38
81105,1029.211185,594.2282228,63.4,36.6,60.26,39.74,3.14,-3.14
81106,1011.348877,705.5089094,58.91,41.09,58.56,41.44,0.35,-0.35
81107,342.1968942,246.9981506,58.08,41.92,57,43,1.08,-1.08
81108,943.7757737,634.1109583,59.81,40.19,58.3,41.7,1.51,-1.51
81109,909.611286,632.8481415,58.97,41.03,58.07,41.93,0.9,-0.9
81110,791.8847285,539.7322905,59.47,40.53,57.97,42.03,1.5,-1.5
81111,3.128578448,1.744447333,64.2,35.8,63.66,36.34,0.54,-0.54
81112,3.739326904,2.059854169,64.48,35.52,65.4,34.6,-0.92,0.92
81113,193.0350672,113.477292,62.98,37.02,59.03,40.97,3.95,-3.95
81114,26.26003315,14.80350804,63.95,36.05,58.05,41.95,5.9,-5.9
81115,63.5893769,40.01620581,61.38,38.62,56.82,43.18,4.56,-4.56
81118,169.6661633,120.9981227,58.37,41.63,58.04,41.96,0.33,-0.33
81119,1.00797649,0.933879093,51.91,48.09,53.33,46.67,-1.42,1.42
81120,1017.740267,678.301541,60.01,39.99,58.76,41.24,1.25,-1.25
81121,58.76715887,38.20387785,60.6,39.4,58.77,41.23,1.83,-1.83
81122,153.4233561,109.0711585,58.45,41.55,57.48,42.52,0.97,-0.97
81124,1499.181541,901.2049767,62.46,37.54,57.43,42.57,5.03,-5.03
81125,602.0190749,343.3451736,63.68,36.32,58.32,41.68,5.36,-5.36
81126,0.670333261,0.309736441,68.4,31.6,61.1,38.9,7.3,-7.3
81127,639.0956031,273.0839908,70.06,29.94,63.38,36.62,6.68,-6.68
81129,734.2332404,344.976995,68.03,31.97,59.67,40.33,8.36,-8.36
81130,5.464831331,3.228852336,62.86,37.14,59.65,40.35,3.21,-3.21
81131,2159.966971,1093.741776,66.38,33.62,58.97,41.03,7.41,-7.41
