SA1_7DIG16,state_ab,div_nm,v_lnp_sa1,v_alp_sa1,v_t_sa1,p_lnp_sa1,p_alp_sa1,swing
2128118,VIC,Casey,181.8,133.3,315.1,57.7,42.3,3.33
2128119,VIC,Casey,193.8,143.2,337,57.51,42.49,2.62
2128120,VIC,Casey,206.9,145.5,352.4,58.72,41.28,1.52
2128121,VIC,Casey,219.5,153.5,373,58.84,41.16,1.65
2128122,VIC,Casey,100.1,70.18,170.28,58.8,41.2,1.56
2128123,VIC,Casey,188.9,138.9,327.8,57.62,42.38,1.45
2128124,VIC,Casey,196.9,149.2,346.1,56.89,43.11,2.04
2128125,VIC,Casey,157.6,113.9,271.5,58.05,41.95,1.75
2128126,VIC,Casey,161.9,119.7,281.6,57.5,42.5,0.97
2128127,VIC,Casey,208.9,153.2,362.1,57.69,42.31,1.09
2128128,VIC,Casey,207.7,151.4,359.1,57.83,42.17,1.22
2128129,VIC,Casey,169.2,123.8,293,57.74,42.26,1.39
2128130,VIC,Casey,186.2,132.4,318.6,58.44,41.56,1.65
2128131,VIC,Casey,191.2,148,339.2,56.37,43.63,1.96
2128132,VIC,Casey,207.9,162.5,370.4,56.13,43.87,2.21
2128133,VIC,Casey,158.8,119.7,278.5,57.02,42.98,2.46
2128134,VIC,Casey,153.2,118.6,271.79999999999995,56.37,43.63,1.34
2128135,VIC,Casey,96.98,72,168.98000000000002,57.39,42.61,4.64
2128136,VIC,Casey,149.9,113.1,263,57,43,2.22
2128137,VIC,Casey,102.5,74.42,176.92000000000002,57.94,42.06,2.55
2128138,VIC,Casey,179.9,126.7,306.6,58.67,41.33,1.51
2128139,VIC,Casey,107.9,73.93,181.83,59.34,40.66,2.44
2128140,VIC,Casey,132.9,93.74,226.64,58.63,41.37,1.79
2128141,VIC,Casey,186.8,130.8,317.6,58.82,41.18,2.34
2128142,VIC,Casey,211.1,145.5,356.6,59.2,40.8,1.72
2128143,VIC,Casey,101.2,70.37,171.57,58.99,41.01,1.48
2128144,VIC,Casey,163.8,125.2,289,56.67,43.33,-0.39
2128145,VIC,Casey,209.1,158.2,367.29999999999995,56.94,43.06,2.97
2128146,VIC,Casey,168.9,123.8,292.7,57.7,42.3,4.25
2128147,VIC,Casey,113.2,83.58,196.78,57.52,42.48,4.21
2128201,VIC,Casey,147,186.5,333.5,44.09,55.91,-3.76
2128202,VIC,Casey,83.35,108.6,191.95,43.42,56.58,-6.03
2128203,VIC,Casey,110.6,159.6,270.2,40.95,59.05,-7.45
2128204,VIC,Casey,83.21,132.2,215.40999999999997,38.62,61.38,-8.12
2128205,VIC,Casey,108.5,161.5,270,40.18,59.82,-5.31
2128206,VIC,Casey,54.44,85.57,140.01,38.89,61.11,-4.2
2128207,VIC,Casey,62.38,87.29,149.67000000000002,41.68,58.32,-4.09
2128208,VIC,Casey,69.66,102.5,172.16,40.47,59.53,-3.81
2128209,VIC,Casey,108.3,153.3,261.6,41.39,58.61,-6.92
2128210,VIC,Casey,87.21,112.1,199.31,43.76,56.24,-3.77
2128211,VIC,Casey,115.1,118.3,233.39999999999998,49.32,50.68,-2.37
2128212,VIC,Casey,136.7,141,277.7,49.21,50.79,-2.81
2128213,VIC,Casey,119.4,120.5,239.9,49.77,50.23,-2.34
2128214,VIC,Casey,138.5,140.4,278.9,49.65,50.35,-2.87
2128215,VIC,Casey,163,178.1,341.1,47.8,52.2,-3.65
2128216,VIC,Casey,116.3,132.5,248.8,46.75,53.25,-3.99
2128217,VIC,Casey,5.07,6.27,11.34,44.71,55.29,-3.92
2128218,VIC,Casey,145.2,182,327.2,44.37,55.63,-5.06
2128219,VIC,Casey,129.9,160.9,290.8,44.67,55.33,-4.88
2128220,VIC,Casey,161.2,209.2,370.4,43.53,56.47,-7.68
2128221,VIC,Casey,53.58,60.96,114.53999999999999,46.78,53.22,-4.6
2128222,VIC,Casey,149.2,183.4,332.6,44.86,55.14,-4.28
2128223,VIC,Casey,153,189.4,342.4,44.69,55.31,-4.54
2128224,VIC,Casey,93.8,119.8,213.6,43.92,56.08,-7.45
2128225,VIC,Casey,66.24,85.91,152.14999999999998,43.54,56.46,-7.36
2128226,VIC,Casey,78.89,90.32,169.20999999999998,46.62,53.38,-3.82
2128227,VIC,Casey,0.65,1.25,1.9,34.27,65.73,-5.16
2128228,VIC,Casey,90.97,111.4,202.37,44.96,55.04,-4.75
2128229,VIC,Casey,0.38,0.59,0.97,39.36,60.64,-6.64
2128230,VIC,Casey,6.78,5.4,12.18,55.68,44.32,-1.41
2128232,VIC,Casey,172.7,209.2,381.9,45.22,54.78,-4.57
2128301,VIC,Casey,130,90.2,220.2,59.04,40.96,2.21
2128302,VIC,Casey,179,128.9,307.9,58.14,41.86,1.75
2128303,VIC,Casey,98.84,72.31,171.15,57.75,42.25,1.41
2128304,VIC,Casey,191.9,133.2,325.1,59.03,40.97,1.71
2128305,VIC,Casey,152.8,109,261.8,58.38,41.62,1.12
2128306,VIC,Casey,265.3,188.1,453.4,58.51,41.49,2.01
2128307,VIC,Casey,112.7,79.21,191.91,58.73,41.27,2.09
2128308,VIC,Casey,121.7,87.28,208.98000000000002,58.23,41.77,1.92
2128309,VIC,Casey,213.3,142.4,355.70000000000005,59.96,40.04,2.57
2128310,VIC,Casey,142.1,100.6,242.7,58.56,41.44,2.25
2128311,VIC,Casey,207,146.8,353.8,58.5,41.5,1.91
2128312,VIC,Casey,124.9,86.75,211.65,59.01,40.99,2.03
2128313,VIC,Casey,161.1,110.3,271.4,59.37,40.63,2.05
2128314,VIC,Casey,143.6,98.93,242.53,59.22,40.78,2.17
2128315,VIC,Casey,126.4,92.04,218.44,57.87,42.13,1.64
2128316,VIC,Casey,132.8,97.53,230.33,57.65,42.35,1.61
2128317,VIC,Casey,184,136.6,320.6,57.39,42.61,1.14
2128318,VIC,Casey,93.74,66.85,160.58999999999997,58.37,41.63,1.92
2128319,VIC,Casey,153.4,106.2,259.6,59.08,40.92,2.37
2128320,VIC,Casey,149.6,104.1,253.7,58.97,41.03,2.31
2128321,VIC,Casey,123.3,88.51,211.81,58.21,41.79,1.85
2128322,VIC,Casey,98.53,69.45,167.98000000000002,58.66,41.34,1.46
2128323,VIC,Casey,98.16,73.41,171.57,57.21,42.79,1.28
2128324,VIC,Casey,142.7,104.5,247.2,57.72,42.28,1.2
2128325,VIC,Casey,137.7,98.76,236.45999999999998,58.23,41.77,1.82
2128326,VIC,Casey,79.64,58.04,137.68,57.84,42.16,1.73
2128401,VIC,Casey,74.54,101.1,175.64,42.45,57.55,-4.26
2128402,VIC,Casey,112.8,143.4,256.2,44.01,55.99,-4.11
2128403,VIC,Casey,120.6,172.3,292.9,41.17,58.83,-4.09
2128404,VIC,Casey,131.5,158.6,290.1,45.34,54.66,-4.05
2128405,VIC,Casey,110.9,147.7,258.6,42.9,57.1,-4.27
2128406,VIC,Casey,68.17,86.09,154.26,44.19,55.81,-3.35
2128407,VIC,Casey,60.51,83.52,144.03,42.01,57.99,-4.69
2128408,VIC,Casey,102.6,144.3,246.9,41.56,58.44,-4.63
2128409,VIC,Casey,74.36,103.5,177.86,41.81,58.19,-4.56
2128410,VIC,Casey,121.4,155.2,276.6,43.88,56.12,-4.31
2128411,VIC,Casey,114.1,149.7,263.79999999999995,43.24,56.76,-3.36
2128412,VIC,Casey,96.54,121.4,217.94,44.31,55.69,-2.88
2128413,VIC,Casey,144,186.5,330.5,43.57,56.43,-3.48
2128414,VIC,Casey,66.85,80.66,147.51,45.32,54.68,-3.11
2128415,VIC,Casey,113.2,146.1,259.3,43.65,56.35,-3.82
2128416,VIC,Casey,114.7,140.8,255.5,44.9,55.1,-3.5
2128417,VIC,Casey,131.6,169,300.6,43.79,56.21,-4.03
2128418,VIC,Casey,71.75,93.73,165.48000000000002,43.36,56.64,-3.86
2128419,VIC,Casey,118.8,165.9,284.7,41.73,58.27,-3.67
2128420,VIC,Casey,223.2,262.6,485.8,45.94,54.06,-3.03
2128421,VIC,Casey,109.6,151.7,261.29999999999995,41.93,58.07,-4.05
2128422,VIC,Casey,101,142,243,41.58,58.42,-3.64
2128423,VIC,Casey,143.7,203.5,347.2,41.39,58.61,-3.95
2128424,VIC,Casey,109.7,149.4,259.1,42.34,57.66,-3.09
2128425,VIC,Casey,63.69,82.1,145.79,43.68,56.32,-4.19
2128426,VIC,Casey,94.44,126.1,220.54,42.82,57.18,-4.27
2128427,VIC,Casey,68.12,86.67,154.79000000000002,44.01,55.99,-3.27
2128501,VIC,Casey,69.37,41.37,110.74000000000001,62.64,37.36,2.23
2128502,VIC,Casey,81.06,51.45,132.51,61.17,38.83,2.07
2128503,VIC,Casey,106,68.02,174.01999999999998,60.9,39.1,3.28
2128504,VIC,Casey,156.4,94.2,250.60000000000002,62.41,37.59,2.46
2128505,VIC,Casey,129.3,78.15,207.45000000000002,62.33,37.67,1.85
2128506,VIC,Casey,143.8,85.65,229.45000000000002,62.66,37.34,2.39
2128507,VIC,Casey,129.1,79.23,208.32999999999998,61.97,38.03,2
2128508,VIC,Casey,114.7,69.19,183.89,62.37,37.63,2.17
2128509,VIC,Casey,174,107.1,281.1,61.89,38.11,3.19
2128510,VIC,Casey,84.9,54.16,139.06,61.05,38.95,1.81
2128511,VIC,Casey,182.1,113.3,295.4,61.65,38.35,2.08
2128512,VIC,Casey,69.93,44.01,113.94,61.37,38.63,2.11
2128513,VIC,Casey,58.14,36.45,94.59,61.47,38.53,3.64
2128514,VIC,Casey,81.85,50.37,132.22,61.91,38.09,1.84
2128515,VIC,Casey,101.2,66,167.2,60.52,39.48,3.41
2128516,VIC,Casey,140.1,90.92,231.01999999999998,60.65,39.35,3.49
2128517,VIC,Casey,100.8,60.62,161.42,62.45,37.55,0.92
2128518,VIC,Casey,97.35,62.89,160.24,60.75,39.25,3.04
2128519,VIC,Casey,136.5,81.39,217.89,62.64,37.36,1.61
2128520,VIC,Casey,113.3,67.99,181.29,62.5,37.5,2.96
2128521,VIC,Casey,147.5,83.12,230.62,63.95,36.05,2.85
2128522,VIC,Casey,145.5,92.65,238.15,61.09,38.91,3.88
2128523,VIC,Casey,104.9,66.64,171.54000000000002,61.14,38.86,2.26
2128524,VIC,Casey,197.8,127,324.8,60.9,39.1,3.42
2128525,VIC,Casey,162.5,105.1,267.6,60.72,39.28,3.46
2128526,VIC,Casey,133.1,78.62,211.72,62.87,37.13,1.96
2128601,VIC,Casey,53.66,55.68,109.34,49.08,50.92,0.45
2128602,VIC,Casey,96.97,110.2,207.17000000000002,46.81,53.19,-0.8
2128603,VIC,Casey,141.7,111.2,252.89999999999998,56.05,43.95,2.89
2128604,VIC,Casey,144.1,111.6,255.7,56.36,43.64,3.36
2128605,VIC,Casey,118.6,92.33,210.93,56.23,43.77,3.35
2128606,VIC,Casey,110.9,85.9,196.8,56.36,43.64,3.26
2128607,VIC,Casey,85.23,102.1,187.32999999999998,45.51,54.49,-1.72
2128608,VIC,Casey,139.6,107.4,247,56.52,43.48,3.59
2128609,VIC,Casey,2.03,1.67,3.6999999999999997,54.84,45.16,2.22
2128610,VIC,Casey,148.9,113.4,262.3,56.77,43.23,3.38
2128612,VIC,Casey,123.9,93.91,217.81,56.88,43.12,2.59
2128613,VIC,Casey,97.48,110.8,208.28,46.8,53.2,-0.92
2128614,VIC,Casey,158.5,121.6,280.1,56.6,43.4,3.1
2128615,VIC,Casey,162.5,127.7,290.2,56,44,3.12
2128616,VIC,Casey,122.6,93.11,215.70999999999998,56.83,43.17,3.01
2128617,VIC,Casey,103.3,112,215.3,47.97,52.03,-0.99
2128618,VIC,Casey,130.1,161,291.1,44.7,55.3,-1.36
2128619,VIC,Casey,69.98,59.41,129.39,54.08,45.92,1.61
2128620,VIC,Casey,102,89.47,191.47,53.26,46.74,3.18
2128621,VIC,Casey,103.4,114.3,217.7,47.51,52.49,-0.94
2128622,VIC,Casey,79.66,98.34,178,44.75,55.25,-1.96
2128623,VIC,Casey,61.97,75.89,137.86,44.95,55.05,-1.26
2128625,VIC,Casey,72.19,68.91,141.1,51.16,48.84,1.73
2128626,VIC,Casey,70.29,70.04,140.33,50.09,49.91,0.92
2128627,VIC,Casey,114,113.9,227.9,50.03,49.97,1.7
2128628,VIC,Casey,119.3,118.8,238.1,50.12,49.88,1.39
2128629,VIC,Casey,168,124.5,292.5,57.44,42.56,4.13
2128630,VIC,Casey,137.1,118.7,255.8,53.6,46.4,3.25
2128631,VIC,Casey,161.5,127.2,288.7,55.95,44.05,1.97
2128632,VIC,Casey,110.2,83.25,193.45,56.97,43.03,3.25
2128633,VIC,Casey,84.16,62.85,147.01,57.25,42.75,3.6
2128634,VIC,Casey,135,102.8,237.8,56.79,43.21,3.01
2128635,VIC,Casey,64.22,48.63,112.85,56.91,43.09,2.44
2128636,VIC,Casey,78.69,62.95,141.64,55.56,44.44,2.99
2128637,VIC,Casey,75.08,57.86,132.94,56.48,43.52,1.83
2128638,VIC,Casey,100.3,75.27,175.57,57.13,42.87,2.03
2128639,VIC,Casey,112.7,81.47,194.17000000000002,58.03,41.97,2.58
2128640,VIC,Casey,101.8,76,177.8,57.26,42.74,3.01
2128641,VIC,Casey,56.27,40.42,96.69,58.2,41.8,2.93
2128642,VIC,Casey,215.6,153.5,369.1,58.41,41.59,3.32
2128643,VIC,Casey,134.9,105.4,240.3,56.15,43.85,2.07
2128644,VIC,Casey,90.49,110.3,200.79,45.07,54.93,-1.51
2128645,VIC,Casey,0.5,0.4,0.9,55.59,44.41,4.82
2128646,VIC,Casey,84.82,63.39,148.20999999999998,57.23,42.77,3.46
2128647,VIC,Casey,100.7,75.27,175.97,57.22,42.78,3.03
2128648,VIC,Casey,93.11,77.87,170.98000000000002,54.46,45.54,2.49
2128649,VIC,Casey,105.1,103.8,208.89999999999998,50.32,49.68,1.76
2128650,VIC,Casey,79.75,59.42,139.17000000000002,57.3,42.7,3.45
2128651,VIC,Casey,92.75,79,171.75,54,46,2.93
2128652,VIC,Casey,111.7,92.66,204.36,54.67,45.33,2.83
2128654,VIC,Casey,160.7,119.5,280.2,57.35,42.65,3.48
2128655,VIC,Casey,139.8,109.5,249.3,56.08,43.92,3.5
2128656,VIC,Casey,9.52,7.21,16.73,56.9,43.1,2.55
2128657,VIC,Casey,106.3,80.99,187.29,56.76,43.24,3.59
2128908,VIC,Casey,0.59,0.37,0.96,61.31,38.69,NA
2128951,VIC,Casey,120.9,105.1,226,53.5,46.5,-0.7
1130401,NSW,Chifley,81.97,120.9,202.87,40.4,59.6,7.85
1130402,NSW,Chifley,85.88,126.6,212.48,40.42,59.58,7.71
1130403,NSW,Chifley,122,181.7,303.7,40.18,59.82,7.33
1130404,NSW,Chifley,110,176.2,286.2,38.43,61.57,4.91
1130405,NSW,Chifley,81.39,129.2,210.58999999999997,38.65,61.35,5.83
1130406,NSW,Chifley,89.34,142.3,231.64000000000001,38.57,61.43,5.67
1130407,NSW,Chifley,99.91,157.1,257.01,38.88,61.12,5.91
1130408,NSW,Chifley,63.66,102.2,165.86,38.37,61.63,5.31
1130409,NSW,Chifley,72.77,115.8,188.57,38.59,61.41,5.31
1130410,NSW,Chifley,90.2,143,233.2,38.68,61.32,5.99
1130411,NSW,Chifley,76.65,120.3,196.95,38.93,61.07,5.88
1130412,NSW,Chifley,70.09,103.1,173.19,40.48,59.52,7.13
1130413,NSW,Chifley,132.9,207.7,340.6,39.02,60.98,5.65
1130414,NSW,Chifley,63.29,88.86,152.15,41.6,58.4,5.63
1130415,NSW,Chifley,74.56,104.4,178.96,41.66,58.34,4.79
1130416,NSW,Chifley,118.3,170.3,288.6,40.99,59.01,4.97
1130417,NSW,Chifley,129,203.5,332.5,38.81,61.19,5.2
1130418,NSW,Chifley,134.2,213.4,347.6,38.61,61.39,5.08
1130419,NSW,Chifley,98.47,146.8,245.27,40.14,59.86,5.71
1130420,NSW,Chifley,100.1,144.9,245,40.87,59.13,5.22
1130421,NSW,Chifley,86.98,121.9,208.88,41.63,58.37,4.79
1130422,NSW,Chifley,73.27,107.2,180.47,40.6,59.4,5.79
1130423,NSW,Chifley,53.89,78.75,132.64,40.63,59.37,5.74
1130424,NSW,Chifley,151.6,220.3,371.9,40.76,59.24,5.76
1130425,NSW,Chifley,98.18,143.5,241.68,40.62,59.38,6.51
1130426,NSW,Chifley,126.2,196.9,323.1,39.07,60.93,4.86
1130427,NSW,Chifley,179,282.5,461.5,38.79,61.21,4.99
1130428,NSW,Chifley,89.27,131.1,220.37,40.5,59.5,4.96
1130429,NSW,Chifley,74.97,110.3,185.26999999999998,40.48,59.52,7.49
1130430,NSW,Chifley,88.84,138.3,227.14000000000001,39.1,60.9,4.9
1130431,NSW,Chifley,35.21,52.7,87.91,40.05,59.95,6.21
1130432,NSW,Chifley,141.1,204.9,346,40.78,59.22,6.07
1130433,NSW,Chifley,88.53,129.2,217.73,40.66,59.34,5.42
1130434,NSW,Chifley,97.44,142.5,239.94,40.62,59.38,5.41
1130435,NSW,Chifley,123,181.5,304.5,40.39,59.61,5.47
1130436,NSW,Chifley,100.3,147.5,247.8,40.48,59.52,5.55
1130437,NSW,Chifley,93.02,133.1,226.12,41.14,58.86,4.83
1130438,NSW,Chifley,69.06,99.98,169.04000000000002,40.85,59.15,4.78
1130439,NSW,Chifley,122.6,188.8,311.4,39.37,60.63,4.96
1130440,NSW,Chifley,71.02,113,184.01999999999998,38.58,61.42,5.01
1130442,NSW,Chifley,90.37,131.8,222.17000000000002,40.67,59.33,5.95
1130601,NSW,Chifley,140.3,227.5,367.8,38.14,61.86,6.08
1130602,NSW,Chifley,116,189.2,305.2,38.01,61.99,6.33
1130604,NSW,Chifley,536.5,891.9,1428.4,37.56,62.44,4.23
1130605,NSW,Chifley,45.64,77.5,123.14,37.06,62.94,3.71
1130606,NSW,Chifley,94.54,157.8,252.34000000000003,37.46,62.54,6.09
1130607,NSW,Chifley,62.3,102.8,165.1,37.73,62.27,6.09
1130608,NSW,Chifley,121,200.4,321.4,37.65,62.35,6.21
1130609,NSW,Chifley,60.58,102.7,163.28,37.1,62.9,5.55
1130610,NSW,Chifley,58.41,97,155.41,37.58,62.42,6.15
1130611,NSW,Chifley,106.3,167.3,273.6,38.86,61.14,6.16
1130612,NSW,Chifley,101.4,159.3,260.70000000000005,38.9,61.1,5.97
1130613,NSW,Chifley,102.5,167.3,269.8,37.99,62.01,6.42
1130614,NSW,Chifley,122.4,186.2,308.6,39.67,60.33,5.9
1130615,NSW,Chifley,98.76,149,247.76,39.86,60.14,6.3
1130616,NSW,Chifley,79.45,124,203.45,39.05,60.95,5.94
1130617,NSW,Chifley,128.4,201.6,330,38.91,61.09,6.08
1130618,NSW,Chifley,72.09,115.9,187.99,38.35,61.65,5.8
1130619,NSW,Chifley,133.7,214,347.7,38.46,61.54,6.12
1130620,NSW,Chifley,119.8,172.3,292.1,41.02,58.98,6.68
1130621,NSW,Chifley,120.8,176.1,296.9,40.68,59.32,6.59
1130622,NSW,Chifley,89.27,128.7,217.96999999999997,40.95,59.05,6.61
1130623,NSW,Chifley,60.56,95.86,156.42000000000002,38.72,61.28,4.98
1130624,NSW,Chifley,79.47,135,214.47,37.05,62.95,5.55
1130625,NSW,Chifley,107.1,177.7,284.79999999999995,37.61,62.39,6.25
1130626,NSW,Chifley,70.03,119.2,189.23000000000002,37.01,62.99,5.97
1130627,NSW,Chifley,65.84,110.3,176.14,37.37,62.63,5.96
1130628,NSW,Chifley,67.11,112.6,179.70999999999998,37.35,62.65,4.87
1130629,NSW,Chifley,0.55,1.2,1.75,31.37,68.63,1.91
1130630,NSW,Chifley,89.07,152.7,241.76999999999998,36.84,63.16,5.47
1130631,NSW,Chifley,81.59,140.3,221.89000000000001,36.78,63.22,5.76
1130632,NSW,Chifley,76.58,133.5,210.07999999999998,36.46,63.54,4.52
1130633,NSW,Chifley,71.01,122.4,193.41000000000003,36.71,63.29,5.18
1130634,NSW,Chifley,65.25,109.3,174.55,37.39,62.61,5.95
1130635,NSW,Chifley,51.13,85.91,137.04,37.31,62.69,6.07
1130636,NSW,Chifley,57.96,89.36,147.32,39.34,60.66,6.18
1130637,NSW,Chifley,70.66,109.7,180.36,39.17,60.83,5.88
1130638,NSW,Chifley,99.82,168.7,268.52,37.17,62.83,5.64
1130639,NSW,Chifley,90.25,135,225.25,40.06,59.94,6.22
1130640,NSW,Chifley,90.76,135.1,225.86,40.19,59.81,6.04
1130641,NSW,Chifley,112.5,194.5,307,36.64,63.36,3.72
1130642,NSW,Chifley,75.55,129.2,204.75,36.91,63.09,3.81
1130643,NSW,Chifley,57.32,97.54,154.86,37.01,62.99,3.52
1130644,NSW,Chifley,34.79,57.83,92.62,37.56,62.44,4.07
1130645,NSW,Chifley,63.76,108,171.76,37.13,62.87,3.77
1130646,NSW,Chifley,92.24,144.3,236.54000000000002,39,61,5.31
1130647,NSW,Chifley,82.42,131.2,213.62,38.58,61.42,4.69
1130648,NSW,Chifley,50.35,85.23,135.58,37.14,62.86,3.82
1130649,NSW,Chifley,70.86,116.7,187.56,37.78,62.22,4.09
1130650,NSW,Chifley,98.34,160.3,258.64,38.02,61.98,4.55
1130651,NSW,Chifley,55.82,90.64,146.46,38.11,61.89,5.73
1130652,NSW,Chifley,201.4,324.3,525.7,38.31,61.69,5.78
1131201,NSW,Chifley,58.53,63.23,121.75999999999999,48.07,51.93,-3.92
1131210,NSW,Chifley,251.5,306.4,557.9,45.08,54.92,-1.01
1131211,NSW,Chifley,69.72,81.25,150.97,46.18,53.82,-1.78
1131222,NSW,Chifley,91.58,140.2,231.77999999999997,39.51,60.49,6.03
1131225,NSW,Chifley,113.3,141.8,255.10000000000002,44.41,55.59,0.44
1131227,NSW,Chifley,180.2,207.3,387.5,46.5,53.5,-0.93
1131230,NSW,Chifley,88.4,94.2,182.60000000000002,48.41,51.59,-3.67
1131233,NSW,Chifley,165.1,198.8,363.9,45.36,54.64,-1.44
1131234,NSW,Chifley,15.2,17.94,33.14,45.85,54.15,-3.56
1131235,NSW,Chifley,1039,1202,2241,46.36,53.64,-0.71
1131236,NSW,Chifley,179.3,242.6,421.9,42.49,57.51,8.63
1131237,NSW,Chifley,41.43,58.61,100.03999999999999,41.41,58.59,6.16
1131238,NSW,Chifley,206,291.5,497.5,41.41,58.59,7.04
1131239,NSW,Chifley,439.8,603.9,1043.7,42.14,57.86,8.11
1131301,NSW,Chifley,35.88,66.59,102.47,35.01,64.99,10.59
1131302,NSW,Chifley,40.58,75.52,116.1,34.95,65.05,9.6
1131303,NSW,Chifley,64.38,119.6,183.98,34.99,65.01,9.5
1131304,NSW,Chifley,65.24,123.6,188.83999999999997,34.56,65.44,9.62
1131305,NSW,Chifley,87.61,173.2,260.81,33.59,66.41,6.94
1131306,NSW,Chifley,63.09,131.9,194.99,32.35,67.65,6.6
1131307,NSW,Chifley,64.06,130.5,194.56,32.93,67.07,6.52
1131308,NSW,Chifley,55.43,103.3,158.73,34.93,65.07,6.76
1131309,NSW,Chifley,54.53,110.5,165.03,33.04,66.96,6.58
1131310,NSW,Chifley,76.4,161.4,237.8,32.13,67.87,8.06
1131311,NSW,Chifley,57.4,107.3,164.7,34.84,65.16,9.52
1131312,NSW,Chifley,49.33,93.53,142.86,34.53,65.47,10.02
1131313,NSW,Chifley,44.88,90.54,135.42000000000002,33.14,66.86,7.49
1131314,NSW,Chifley,69.86,142.7,212.56,32.86,67.14,7.16
1131315,NSW,Chifley,36.63,78.21,114.84,31.9,68.1,7.7
1131316,NSW,Chifley,41.32,89.19,130.51,31.66,68.34,7.24
1131317,NSW,Chifley,61.16,132.5,193.66,31.58,68.42,7.11
1131318,NSW,Chifley,78.69,147.7,226.39,34.76,65.24,8
1131319,NSW,Chifley,53.05,101.8,154.85,34.27,65.73,9.05
1131320,NSW,Chifley,82.08,159.1,241.18,34.03,65.97,8.65
1131321,NSW,Chifley,41.85,82.48,124.33000000000001,33.66,66.34,10.33
1131322,NSW,Chifley,49.51,96.84,146.35,33.83,66.17,9.25
1131323,NSW,Chifley,41.46,79.32,120.78,34.33,65.67,10.81
1131325,NSW,Chifley,54.85,107.4,162.25,33.81,66.19,6.96
1131326,NSW,Chifley,35.02,65.41,100.43,34.87,65.13,8.11
1131327,NSW,Chifley,104.7,205.3,310,33.77,66.23,6.67
1131328,NSW,Chifley,85.03,172.6,257.63,33,67,6.24
1131330,NSW,Chifley,42.59,81.46,124.05,34.33,65.67,9.88
1131332,NSW,Chifley,61.89,124.8,186.69,33.15,66.85,7.47
1131333,NSW,Chifley,71.39,147.9,219.29000000000002,32.56,67.44,7.38
1131334,NSW,Chifley,40.81,83.94,124.75,32.71,67.29,8.71
1131335,NSW,Chifley,64.56,134.2,198.76,32.47,67.53,8.65
1131336,NSW,Chifley,86.26,181.2,267.46,32.25,67.75,8.45
1131337,NSW,Chifley,54.07,112.9,166.97,32.38,67.62,7.84
1131338,NSW,Chifley,69.46,144.4,213.86,32.48,67.52,8.39
1131339,NSW,Chifley,40.67,84.85,125.52,32.4,67.6,8.72
1131340,NSW,Chifley,28.51,60.38,88.89,32.07,67.93,8.3
1131341,NSW,Chifley,49.93,103.9,153.83,32.45,67.55,7.6
1131342,NSW,Chifley,71.21,133.5,204.70999999999998,34.78,65.22,7.87
1131343,NSW,Chifley,36.39,68.24,104.63,34.78,65.22,7.23
1131345,NSW,Chifley,63.84,116.5,180.34,35.39,64.61,8.2
1131346,NSW,Chifley,55.62,113.7,169.32,32.86,67.14,7.3
1131347,NSW,Chifley,73.41,156.3,229.71,31.96,68.04,7.44
1131348,NSW,Chifley,58.58,112,170.57999999999998,34.34,65.66,7.2
1131349,NSW,Chifley,81.44,159.8,241.24,33.76,66.24,6.69
1131350,NSW,Chifley,93.59,187.9,281.49,33.25,66.75,7.78
1131351,NSW,Chifley,75.76,147.8,223.56,33.9,66.1,9.3
1131352,NSW,Chifley,37.67,74.41,112.08,33.61,66.39,9.33
1131401,NSW,Chifley,79.17,145.4,224.57,35.25,64.75,5.5
1131402,NSW,Chifley,91.2,166.4,257.6,35.4,64.6,5.57
1131403,NSW,Chifley,68.23,128.1,196.32999999999998,34.75,65.25,5.39
1131404,NSW,Chifley,79.97,147.9,227.87,35.09,64.91,5.29
1131405,NSW,Chifley,91.34,169.5,260.84000000000003,35.02,64.98,5.23
1131406,NSW,Chifley,86.67,156.5,243.17000000000002,35.64,64.36,5.55
1131407,NSW,Chifley,74.26,132.7,206.95999999999998,35.87,64.13,5.67
1131408,NSW,Chifley,94.05,170.8,264.85,35.51,64.49,5.38
1131409,NSW,Chifley,62.08,112.2,174.28,35.63,64.37,5.48
1131410,NSW,Chifley,71.81,130.3,202.11,35.53,64.47,5.46
1131411,NSW,Chifley,132.2,176.6,308.79999999999995,42.81,57.19,8.97
1131412,NSW,Chifley,92.51,123.8,216.31,42.77,57.23,8.94
1131413,NSW,Chifley,88.81,114.5,203.31,43.67,56.33,9.17
1131414,NSW,Chifley,64.51,87.16,151.67000000000002,42.53,57.47,8.82
1131415,NSW,Chifley,109.6,140.3,249.9,43.86,56.14,9.31
1131416,NSW,Chifley,72.67,79.15,151.82,47.87,52.13,11.28
1131417,NSW,Chifley,113.9,152,265.9,42.84,57.16,8.87
1131419,NSW,Chifley,80.53,104.5,185.03,43.52,56.48,9.06
1131420,NSW,Chifley,0.34,0.58,0.9199999999999999,36.89,63.11,9.82
1131421,NSW,Chifley,0.29,0.59,0.8799999999999999,32.86,67.14,4.77
1131422,NSW,Chifley,64.46,119.4,183.86,35.06,64.94,5.36
1131423,NSW,Chifley,66.69,125.1,191.79,34.78,65.22,5.3
1131501,NSW,Chifley,70.2,138.6,208.8,33.62,66.38,5.36
1131502,NSW,Chifley,65.19,127.2,192.39,33.88,66.12,5.85
1131503,NSW,Chifley,52.22,94.94,147.16,35.49,64.51,6.59
