SA1_7DIG16,state_ab,div_nm,v_lnp_sa1,v_alp_sa1,v_t_sa1,p_lnp_sa1,p_alp_sa1,swing
2144829,VIC,Aston,238,154.9,392.9,60.58,39.42,1.8
2144830,VIC,Aston,221.4,150.6,372,59.52,40.48,2.08
2144832,VIC,Aston,200.1,133.3,333.4,60.01,39.99,2.81
2144833,VIC,Aston,168.1,117.8,285.9,58.79,41.21,2.91
2144834,VIC,Aston,114.2,74.14,188.34,60.64,39.36,1.97
2144835,VIC,Aston,101.1,71.58,172.68,58.55,41.45,2.8
2144901,VIC,Aston,199.8,163.2,363,55.04,44.96,2.48
2144902,VIC,Aston,191.8,156,347.8,55.14,44.86,2.47
2144903,VIC,Aston,222.8,184.9,407.70000000000005,54.65,45.35,2.51
2144904,VIC,Aston,154.8,127.6,282.4,54.82,45.18,2.36
2144905,VIC,Aston,240.8,192.4,433.20000000000005,55.59,44.41,2.51
2144906,VIC,Aston,200.1,167.8,367.9,54.4,45.6,2.22
2144907,VIC,Aston,188.7,154.9,343.6,54.92,45.08,2.5
2144908,VIC,Aston,155.1,127.4,282.5,54.91,45.09,2.42
2100101,VIC,Ballarat,121.3,174.7,296,40.98,59.02,-5.46
2100102,VIC,Ballarat,48.31,70.16,118.47,40.78,59.22,-5.49
2100105,VIC,Ballarat,78.15,115.7,193.85000000000002,40.31,59.69,-4.49
2100106,VIC,Ballarat,160.8,231.1,391.9,41.03,58.97,-5.51
2100107,VIC,Ballarat,91.82,134.7,226.51999999999998,40.53,59.47,-4.59
2100108,VIC,Ballarat,199.8,289.7,489.5,40.82,59.18,-4.54
2100109,VIC,Ballarat,148.8,218.8,367.6,40.48,59.52,-5.12
2100110,VIC,Ballarat,151.3,221.6,372.9,40.57,59.43,-5.55
2100111,VIC,Ballarat,103.9,149.4,253.3,41.03,58.97,-5.47
2100112,VIC,Ballarat,131.2,189.7,320.9,40.89,59.11,-5.41
2100113,VIC,Ballarat,103.4,149.1,252.5,40.95,59.05,-5.58
2100114,VIC,Ballarat,146,212.2,358.2,40.76,59.24,-5.44
2100115,VIC,Ballarat,158.3,210.6,368.9,42.91,57.09,-6.73
2100117,VIC,Ballarat,311.9,452.2,764.0999999999999,40.81,59.19,-5.18
2100118,VIC,Ballarat,83.51,119.8,203.31,41.08,58.92,-5.42
2100119,VIC,Ballarat,174.3,252.6,426.9,40.83,59.17,-5.59
2100120,VIC,Ballarat,120.9,176.3,297.20000000000005,40.67,59.33,-5.6
2100121,VIC,Ballarat,167,241.6,408.6,40.88,59.12,-5.42
2100122,VIC,Ballarat,516.2,767.8,1284,40.2,59.8,-6.64
2100123,VIC,Ballarat,248.5,364.8,613.3,40.52,59.48,-5.69
2100124,VIC,Ballarat,118.4,169.7,288.1,41.1,58.9,-5.62
2100201,VIC,Ballarat,141.6,211,352.6,40.16,59.84,-5.88
2100202,VIC,Ballarat,90.39,133.8,224.19,40.33,59.67,-5.68
2100203,VIC,Ballarat,110.9,166.1,277,40.03,59.97,-5.71
2100204,VIC,Ballarat,131.4,194.3,325.70000000000005,40.35,59.65,-5.62
