SA2_5DIG16,v_lnp_sa2,v_alp_sa2,v_t_sa2,p_lnp_sa2,p_alp_sa2,p_lnp_sa2_16,swing
11033,1811.651959,1583.188766,3394.840725,53.36,46.64,48.72,4.64
11034,2441.029487,1900.257853,4341.28734,56.23,43.77,51.26,4.97
11035,1968.36097,1805.60988,3773.9708499999997,52.16,47.84,49.27,2.89
11036,2119.14247,2089.690307,4208.832777,50.35,49.65,48.06,2.29
11037,1842.096238,1773.421653,3615.5178910000004,50.95,49.05,48.91,2.04
11038,2500.367529,1712.267363,4212.634892,59.35,40.65,53.18,6.17
11039,4683.273258,3205.056029,7888.3292870000005,59.37,40.63,57.44,1.93
11040,6943.673357,7021.921321,13965.594678,49.72,50.28,45.42,4.3
11041,3197.811243,2359.101637,5556.91288,57.55,42.45,56.05,1.5
11042,4024.021261,4077.0069,8101.028161,49.67,50.33,45.6,4.07
11043,2831.70516,3175.287605,6006.992765,47.14,52.86,45.97,1.17
11044,6245.945286,6441.61463,12687.559916,49.23,50.77,46.03,3.2
11045,2362.387581,3419.77667,5782.164251,40.86,59.14,35.86,5
11046,2252.7469380000002,2622.180841,4874.927779,46.21,53.79,39.06,7.15
11047,4538.813393,4667.557532,9206.370925,49.3,50.7,45.46,3.84
11048,5322.588318,6789.298094,12111.886412,43.95,56.05,38.96,4.99
11049,1047.209224,946.5416798,1993.7509037999998,52.52,47.48,51.89,0.63
11050,2964.15415,3078.647918,6042.802068,49.05,50.95,40.08,8.97
11051,1423.251066,1368.636546,2791.887612,50.98,49.02,47.76,3.22
11052,1790.061539,1764.07004,3554.131579,50.37,49.63,43.08,7.29
11053,4632.835674,4585.900584,9218.736258,50.25,49.75,47.34,2.91
11054,2573.449558,3068.66216,5642.111718,45.61,54.39,42.83,2.78
11055,1366.666599,1512.838073,2879.504672,47.46,52.54,45.74,1.72
11056,4342.610895,4787.51784,9130.128735,47.56,52.44,44.62,2.94
11057,2229.791123,2620.365128,4850.156251,45.97,54.03,41.91,4.06
11058,8443.430732,5640.563365,14083.994097,59.95,40.05,57.52,2.43
11059,4013.950701,2627.06795,6641.018651,60.44,39.56,58.19,2.25
11060,2676.017264,1546.021528,4222.038792,63.38,36.62,61.27,2.11
11061,1699.005102,886.6933975,2585.6984995000003,65.71,34.29,58.9,6.81
11062,2185.890661,813.6291882,2999.5198492,72.87,27.13,66.31,6.56
11063,3741.942932,1698.446622,5440.389553999999,68.78,31.22,63.6,5.18
11064,2307.060373,866.1227671,3173.1831401,72.7,27.3,70.46,2.24
11065,4390.304724,1436.461697,5826.766420999999,75.35,24.65,73.45,1.9
11066,1680.289046,487.9007899,2168.1898359,77.5,22.5,74.06,3.44
11067,4528.582552,1782.265962,6310.848513999999,71.76,28.24,67.21,4.55
11068,1303.428513,534.0772276,1837.5057406,70.93,29.07,68.03,2.9
11069,2697.540197,560.0727628,3257.6129597999998,82.81,17.19,80.17,2.64
11070,4183.896245,3241.486623,7425.382868,56.35,43.65,47.07,9.28
11071,3082.659978,2028.453816,5111.113794,60.31,39.69,49.82,10.49
11072,4677.36475,2349.772016,7027.136766,66.56,33.44,66.46,0.1
11073,1259.719209,767.2952359,2027.0144449,62.15,37.85,55.32,6.83
11074,4074.823618,2018.854219,6093.677837,66.87,33.13,65.8,1.07
11075,0.559885932,0.378010139,0.937896071,59.7,40.3,47.41,12.29
11076,2928.079325,1451.000112,4379.079437,66.87,33.13,66.08,0.79
11077,7134.830991,4097.798885,11232.629875999999,63.52,36.48,67.43,-3.91
11078,7696.29406,4219.614438,11915.908498,64.59,35.41,68.59,-4
11079,4972.701986,2179.394672,7152.096658,69.53,30.47,72.46,-2.93
11080,7304.034967,3996.667238,11300.702205,64.63,35.37,52.45,12.18
11081,6262.896154,3364.973972,9627.870126,65.05,34.95,53.73,11.32
11082,6894.017438,3785.203642,10679.22108,64.56,35.44,56.81,7.75
11083,1351.617542,2070.339604,3421.9571459999997,39.5,60.5,42.29,-2.79
11084,5862.30906,4043.73446,9906.04352,59.18,40.82,61.11,-1.93
11085,3390.13173,2359.606965,5749.738695,58.96,41.04,60.32,-1.36
11086,1264.780644,869.6213341,2134.4019780999997,59.26,40.74,57.77,1.49
11087,998.5457369,738.0007138,1736.5464507,57.5,42.5,58.1,-0.6
11088,3100.494351,2134.301549,5234.795899999999,59.23,40.77,58.49,0.74
11089,6920.928534,4707.975933,11628.904467,59.51,40.49,62.38,-2.87
11090,1586.27013,1279.120698,2865.390828,55.36,44.64,57.14,-1.78
11091,3994.60239,3023.052209,7017.6545989999995,56.92,43.08,52.15,4.77
11092,885.5548482,671.9006116,1557.4554598,56.86,43.14,59.61,-2.75
11093,1472.22248,731.0779449,2203.3004249,66.82,33.18,67.98,-1.16
11094,1068.134292,920.2469714,1988.3812634,53.72,46.28,60.64,-6.92
11095,1756.272762,712.3507389,2468.6235009,71.14,28.86,69.51,1.63
11096,1479.721989,1035.725437,2515.4474259999997,58.83,41.17,56.88,1.95
11097,3955.230778,6649.832597,10605.063375,37.3,62.7,33.61,3.69
11098,338.3709711,468.9136149,807.284586,41.91,58.09,36.27,5.64
11099,2549.929434,1647.404765,4197.334199,60.75,39.25,66.51,-5.76
11100,4093.178064,1807.16534,5900.343404,69.37,30.63,70.32,-0.95
11101,7064.077055,3068.673913,10132.750968,69.72,30.28,70.96,-1.24
11102,3688.589243,1528.131015,5216.720257999999,70.71,29.29,70.33,0.38
11103,2453.017011,967.0806119,3420.0976229,71.72,28.28,72.05,-0.33
11104,1718.119039,681.5954242,2399.7144632,71.6,28.4,70.08,1.52
11105,2577.252559,971.7362755,3548.9888345,72.62,27.38,71.76,0.86
11106,2936.903465,1475.566018,4412.469483,66.56,33.44,64.27,2.29
11107,2925.667532,3112.464136,6038.131668,48.45,51.55,36.72,11.73
11108,5257.808645,6648.147263,11905.955908,44.16,55.84,29.94,14.22
11109,2051.467201,2471.999921,4523.467122,45.35,54.65,34.43,10.92
11110,3236.141429,1921.484618,5157.626047,62.74,37.26,56.1,6.64
11111,3797.792007,6983.782113,10781.574120000001,35.22,64.78,24.07,11.15
11112,4665.394577,4289.082836,8954.477413,52.1,47.9,44.72,7.38
11113,1508.647916,1263.528304,2772.17622,54.42,45.58,47.77,6.65
11114,1757.745384,2495.37968,4253.125064,41.33,58.67,34.95,6.38
11115,7353.617216,9644.929075,16998.546291,43.26,56.74,38.47,4.79
11116,2459.940353,1890.733389,4350.673742,56.54,43.46,55.29,1.25
11117,5480.480487,7884.0677,13364.548187,41.01,58.99,34.71,6.3
11118,2996.964761,3861.549886,6858.514647,43.7,56.3,37.29,6.41
11119,1970.627077,1673.111359,3643.738436,54.08,45.92,51.57,2.51
11120,1921.379521,2053.025385,3974.4049059999998,48.34,51.66,42.24,6.1
11121,7790.38749,5909.229512,13699.617001999999,56.87,43.13,54.64,2.23
11122,3365.344036,4572.773619,7938.117655,42.39,57.61,37.64,4.75
11123,1893.3388870000001,1204.875751,3098.2146380000004,61.11,38.89,58.02,3.09
11124,2150.084265,1147.167776,3297.2520409999997,65.21,34.79,61.73,3.48
11125,3887.85396,3950.322254,7838.176214,49.6,50.4,45.95,3.65
11126,3164.868542,3187.208232,6352.076774,49.82,50.18,36.75,13.07
11127,1115.56708,1073.294768,2188.861848,50.97,49.03,40.01,10.96
11128,2135.674713,963.4095128,3099.0842258,68.91,31.09,64.55,4.36
11129,2937.98205,1302.861305,4240.843355,69.28,30.72,64.66,4.62
11133,0.886630521,2.625081548,3.5117120689999997,25.25,74.75,21.52,3.73
11134,3351.950958,5427.391385,8779.342343,38.18,61.82,36.99,1.19
11135,3.589466213,4.801370396,8.390836609,42.78,57.22,43.15,-0.37
11138,2498.118076,2655.9853,5154.103376,48.47,51.53,52.96,-4.49
11139,1732.248509,1927.129183,3659.377692,47.34,52.66,51.29,-3.95
11140,2357.617054,2437.997551,4795.614605,49.16,50.84,52.38,-3.22
11144,4643.048895,7638.966293,12282.015188000001,37.8,62.2,38.85,-1.05
11145,3133.986151,6074.812573,9208.798724,34.03,65.97,33.98,0.05
11146,4700.572621,7342.389101,12042.961722,39.03,60.97,39.65,-0.62
11147,1981.74041,2499.935754,4481.676164,44.22,55.78,42.75,1.47
11148,2435.138126,4479.476457,6914.614583,35.22,64.78,36.64,-1.42
11150,4313.535214,7819.955505,12133.490719000001,35.55,64.45,36.76,-1.21
11151,1579.16589,937.047657,2516.213547,62.76,37.24,59.06,3.7
11152,5924.004258,3071.256126,8995.260384000001,65.86,34.14,63.15,2.71
11153,2335.569659,1402.83101,3738.4006689999997,62.48,37.52,59.82,2.66
11154,2728.695514,1343.135161,4071.830675,67.01,32.99,63.48,3.53
11155,5225.168096,2731.008468,7956.176564,65.67,34.33,64.59,1.08
11156,3658.377434,1956.42897,5614.806404,65.16,34.84,63.88,1.28
11157,1778.470108,1024.610676,2803.0807839999998,63.45,36.55,62.96,0.49
11158,2441.328845,1650.941298,4092.2701429999997,59.66,40.34,60.87,-1.21
11159,2717.535846,1878.639269,4596.175115,59.13,40.87,60.92,-1.79
11160,2246.100928,1110.595578,3356.6965059999998,66.91,33.09,66.02,0.89
11161,72.90184999,135.0601251,207.96197509,35.06,64.94,38.68,-3.62
11162,7593.800701,3656.514916,11250.315617,67.5,32.5,62.8,4.7
11163,11469.97069,5710.108968,17180.079658,66.76,33.24,68.06,-1.3
11164,7672.922795,3481.464906,11154.387701,68.79,31.21,67.29,1.5
11165,2339.25794,856.2001304,3195.4580704,73.21,26.79,68.51,4.7
11166,4807.50777,1844.42539,6651.9331600000005,72.27,27.73,66.08,6.19
11167,1961.626069,880.8690609,2842.4951299,69.01,30.99,68.77,0.24
11168,4535.312177,2499.408178,7034.7203549999995,64.47,35.53,61.67,2.8
11169,7785.346217,4161.382089,11946.728306,65.17,34.83,61.97,3.2
11170,5249.41644,2701.23748,7950.65392,66.02,33.98,62.66,3.36
11171,2104.894684,1101.106819,3206.001503,65.65,34.35,62.31,3.34
11172,5561.244101,3007.405359,8568.64946,64.9,35.1,67.61,-2.71
11173,3525.549018,2013.177152,5538.72617,63.65,36.35,65.7,-2.05
11174,3652.915939,2003.142744,5656.058683,64.58,35.42,67.38,-2.8
11175,4639.510317,1791.423464,6430.933781,72.14,27.86,73.63,-1.49
11176,5077.169897,2960.193851,8037.363748,63.17,36.83,64.84,-1.67
11177,911.3135433,387.7998929,1299.1134362,70.15,29.85,72.25,-2.1
11178,1860.428539,645.183761,2505.6123,74.25,25.75,78.09,-3.84
11179,1010.687285,292.8271179,1303.5144029,77.54,22.46,77.8,-0.26
11180,2319.452904,966.2857232,3285.7386272000003,70.59,29.41,71.01,-0.42
11181,2449.389071,998.092001,3447.481072,71.05,28.95,71.47,-0.42
11182,1100.115954,479.2407412,1579.3566952,69.66,30.34,74.64,-4.98
11183,2067.48816,676.8142646,2744.3024246,75.34,24.66,77.42,-2.08
11184,2430.830191,758.7171973,3189.5473883,76.21,23.79,77.52,-1.31
11185,3236.948346,1131.313139,4368.261485,74.1,25.9,79.13,-5.03
11186,7347.686757,5394.638842,12742.325599,57.66,42.34,59.1,-1.44
11187,1696.80852,767.5770509,2464.3855709,68.85,31.15,71,-2.15
11188,2324.801487,1420.896465,3745.6979520000004,62.07,37.93,62.13,-0.06
11189,1423.536485,324.8306894,1748.3671744,81.42,18.58,82.76,-1.34
11190,1722.639728,716.9665489,2439.6062769,70.61,29.39,70.85,-0.24
11191,4881.028264,1766.104587,6647.132850999999,73.43,26.57,73.3,0.13
11192,2049.908996,707.0155429,2756.9245389000002,74.35,25.65,71.83,2.52
11193,2402.226296,655.1323095,3057.3586054999996,78.57,21.43,73.73,4.84
11194,2489.578377,1001.343151,3490.921528,71.32,28.68,69.51,1.81
11195,3257.846181,870.7110671,4128.5572481,78.91,21.09,73.55,5.36
11196,1780.100356,447.9772669,2228.0776229,79.89,20.11,75.2,4.69
11197,3188.443806,922.3742443,4110.8180503,77.56,22.44,73.74,3.82
11198,2046.877517,529.7247283,2576.6022453,79.44,20.56,75.55,3.89
11199,4023.834899,1320.670787,5344.505686,75.29,24.71,68.21,7.08
11200,1766.476414,539.9780292,2306.4544432000002,76.59,23.41,69.22,7.37
11201,2813.853092,1374.310907,4188.163999,67.19,32.81,62.43,4.76
11202,8193.674003,4054.974325,12248.648328,66.89,33.11,64.62,2.27
11203,5816.918731,2849.878154,8666.796885,67.12,32.88,65.97,1.15
11204,1849.129485,985.774152,2834.903637,65.23,34.77,62.61,2.62
11205,7925.920831,3364.276017,11290.196848,70.2,29.8,68.56,1.64
11206,4921.719913,5666.233466,10587.953378999999,46.48,53.52,40.16,6.32
11207,1596.596268,1960.828357,3557.424625,44.88,55.12,37.13,7.75
11208,6259.885047,8354.053805,14613.938852,42.84,57.16,40.12,2.72
11209,5322.560444,7705.312565,13027.873008999999,40.86,59.14,36.34,4.52
11210,1935.302591,2946.843036,4882.145627,39.64,60.36,34.07,5.57
11211,986.0277386,1159.845329,2145.8730676,45.95,54.05,43.13,2.82
11212,3396.481919,3970.457893,7366.939812,46.1,53.9,40.12,5.98
11213,3948.339295,3642.667854,7591.007149,52.01,47.99,49.63,2.38
11214,3858.264144,4196.233758,8054.497902000001,47.9,52.1,42.75,5.15
11215,2036.779064,2999.762286,5036.54135,40.44,59.56,32.47,7.97
11216,2674.705871,2403.529063,5078.234934,52.67,47.33,48.34,4.33
11217,3002.763868,4461.399022,7464.16289,40.23,59.77,31.04,9.19
11218,4818.01166,3894.111773,8712.123433,55.3,44.7,49.56,5.74
11219,3705.444031,4488.611287,8194.055317999999,45.22,54.78,37.84,7.38
11220,2641.304285,2932.157759,5573.462044,47.39,52.61,39.62,7.77
11221,1624.724915,2329.940801,3954.6657160000004,41.08,58.92,27.2,13.88
11222,3720.735369,5499.948727,9220.684096,40.35,59.65,39.9,0.45
11223,1742.996671,2961.875114,4704.871785,37.05,62.95,29.39,7.66
11224,2607.946679,4667.433633,7275.380311999999,35.85,64.15,37.07,-1.22
11225,3741.643779,6128.015274,9869.659053,37.91,62.09,38.21,-0.3
11226,2885.20471,5261.697059,8146.901769,35.41,64.59,33.15,2.26
11227,2601.571688,5965.286241,8566.857929,30.37,69.63,29.68,0.69
11228,3766.964196,4817.691571,8584.655767,43.88,56.12,46.57,-2.69
11229,2638.838386,4393.70384,7032.542226,37.52,62.48,41.32,-3.8
11230,3.657139873,7.644518435,11.301658308,32.36,67.64,34.54,-2.18
11231,1504.450929,3330.646041,4835.0969700000005,31.12,68.88,30.96,0.16
11232,1820.339752,2597.466973,4417.806725,41.2,58.8,38.76,2.44
11233,4050.174225,7381.379894,11431.554119,35.43,64.57,34.45,0.98
11234,2038.315581,4461.705509,6500.02109,31.36,68.64,32.1,-0.74
11235,1501.438449,3540.98278,5042.421229,29.78,70.22,32.27,-2.49
11236,5663.048333,5323.325269,10986.373602,51.55,48.45,51.92,-0.37
11237,5663.165388,4231.615654,9894.781042,57.23,42.77,54.83,2.4
11238,1083.010177,2352.290396,3435.300573,31.53,68.47,37.47,-5.94
11239,1470.363063,3491.171123,4961.534186,29.64,70.36,33.2,-3.56
11240,1618.4479,3770.960519,5389.408419,30.03,69.97,34.13,-4.1
11241,1940.507176,1197.737458,3138.244634,61.83,38.17,52.17,9.66
11242,2267.194098,2585.329574,4852.523671999999,46.72,53.28,49.47,-2.75
11243,1279.798817,3506.945919,4786.744736,26.74,73.26,31,-4.26
11244,4968.54196,2492.590652,7461.132611999999,66.59,33.41,57.67,8.92
11245,2599.441913,1439.407362,4038.849275,64.36,35.64,56.88,7.48
11246,4359.42364,3609.683469,7969.1071090000005,54.7,45.3,50.69,4.01
11247,2679.577565,1753.874441,4433.4520059999995,60.44,39.56,53.39,7.05
11248,4837.326052,4526.978418,9364.30447,51.66,48.34,47.51,4.15
11249,4539.551835,4901.511167,9441.063001999999,48.08,51.92,45.03,3.05
11250,3961.510773,3762.174013,7723.684786,51.29,48.71,50.66,0.63
11251,2375.323335,2712.721587,5088.044922,46.68,53.32,46.81,-0.13
11252,2610.985895,3096.89539,5707.8812849999995,45.74,54.26,45.89,-0.15
11253,3382.16322,3889.924952,7272.088172,46.51,53.49,46.65,-0.14
11254,5501.052108,4957.725146,10458.777254,52.6,47.4,50.98,1.62
11256,6626.126275,2554.162072,9180.288347,72.18,27.82,68.27,3.91
11257,4883.116473,1604.926464,6488.042937,75.26,24.74,70.54,4.72
11258,3544.771325,1578.968187,5123.739512,69.18,30.82,66.7,2.48
11259,2198.904938,1001.654749,3200.559687,68.7,31.3,67.36,1.34
11260,867.7645938,715.8891866,1583.6537804,54.8,45.2,44.16,10.64
11261,1875.917283,1759.794078,3635.7113609999997,51.6,48.4,49.51,2.09
11262,1343.811397,1202.555287,2546.3666839999996,52.77,47.23,50.25,2.52
11263,3083.923532,1759.070394,4842.993926,63.68,36.32,60.66,3.02
11264,1180.633025,753.2156115,1933.8486365,61.05,38.95,46.62,14.43
11265,2147.277335,944.55640760000006,3091.8337426000003,69.45,30.55,64.85,4.6
11266,3086.00788,910.6283828,3996.6362628,77.22,22.78,74.54,2.68
11267,6750.651658,3161.027677,9911.679335,68.11,31.89,66.24,1.87
11268,1754.347308,869.5891809,2623.9364889,66.86,33.14,66.06,0.8
11269,8130.567689,4392.042327,12522.610016,64.93,35.07,63.49,1.44
11270,4218.136686,2326.905067,6545.0417529999995,64.45,35.55,62.73,1.72
11271,6507.234547,2573.920331,9081.154878,71.66,28.34,69.98,1.68
11272,2801.921552,2931.07548,5732.997031999999,48.87,51.13,53.55,-4.68
11273,1100.819102,1272.07987,2372.898972,46.39,53.61,47.77,-1.38
11274,1502.453827,1757.484884,3259.938711,46.09,53.91,49.71,-3.62
11275,12.13638074,13.49817989,25.63456063,47.34,52.66,51.47,-4.13
11276,1279.114727,1583.526648,2862.641375,44.68,55.32,49.03,-4.35
11277,4505.921262,4915.375236,9421.296498,47.83,52.17,51.25,-3.42
11278,5016.482864,6010.822845,11027.305709,45.49,54.51,48.45,-2.96
11279,3717.845567,4893.354968,8611.200535,43.17,56.83,47,-3.83
11280,1378.395942,1445.135576,2823.531518,48.82,51.18,52.23,-3.41
11281,1049.720879,1219.393165,2269.114044,46.26,53.74,49.34,-3.08
11282,5014.202099,5341.516732,10355.718831,48.42,51.58,52.73,-4.31
11283,1572.516005,1875.181973,3447.697978,45.61,54.39,51.27,-5.66
11285,1968.499656,1365.674702,3334.174358,59.04,40.96,57.46,1.58
11288,13.97258441,13.01114933,26.983733739999998,51.78,48.22,54.95,-3.17
11289,1860.438654,1472.628057,3333.066711,55.82,44.18,60.62,-4.8
11290,7762.061122,4028.328312,11790.389434,65.83,34.17,66.65,-0.82
11291,7518.852308,3492.073743,11010.926051,68.29,31.71,68.72,-0.43
11294,2700.631076,802.5086648,3503.1397408000003,77.09,22.91,77.51,-0.42
11296,4705.892083,2046.323585,6752.215668,69.69,30.31,71.23,-1.54
11297,8890.555194,2632.912449,11523.467643,77.15,22.85,76.35,0.8
11298,2178.622684,780.8105746,2959.4332586,73.62,26.38,73.61,0.01
11299,786.9311646,581.8079169,1368.7390814999999,57.49,42.51,56.09,1.4
11300,8540.852503,4692.332116,13233.184619,64.54,35.46,59.83,4.71
11301,4437.081099,1590.693312,6027.774411,73.61,26.39,70.16,3.45
11302,10025.48421,3859.806579,13885.290789,72.2,27.8,71.07,1.13
11303,2642.867131,3732.840742,6375.707872999999,41.45,58.55,38.13,3.32
11304,3266.98193,5075.76263,8342.74456,39.16,60.84,33.54,5.62
11306,4113.762348,6902.769121,11016.531469000001,37.34,62.66,31.87,5.47
11307,5977.5627699999995,6344.064379,12321.627149,48.51,51.49,45.53,2.98
11308,4723.512994,6692.379028,11415.892022,41.38,58.62,38.44,2.94
11309,3582.01814,4507.291252,8089.309392,44.28,55.72,45.43,-1.15
11310,7765.199847,7092.900018,14858.099865,52.26,47.74,49.14,3.12
11312,6560.769606,6536.388332,13097.157938,50.09,49.91,47.23,2.86
11313,2402.081562,5098.516433,7500.597995,32.03,67.97,24.02,8.01
11314,1456.633301,2387.852055,3844.485356,37.89,62.11,30.96,6.93
11315,3427.282488,6676.662347,10103.944835,33.92,66.08,27.85,6.07
11316,2936.790119,5032.157017,7968.947136000001,36.85,63.15,30.2,6.65
11317,2978.384731,5972.856573,8951.241304,33.27,66.73,27.53,5.74
11318,1.019381195,1.688964292,2.708345487,37.64,62.36,33.99,3.65
11319,3867.396931,6196.847202,10064.244133,38.43,61.57,32.52,5.91
11320,1.065444299,1.679373407,2.744817706,38.82,61.18,38.23,0.59
11321,2351.418084,3767.737557,6119.155640999999,38.43,61.57,38.25,0.18
11322,3914.14961,6754.74333,10668.89294,36.69,63.31,34.95,1.74
11323,2312.214985,3488.498698,5800.713683,39.86,60.14,37.42,2.44
11326,3014.818696,11066.1155,14080.934196,21.41,78.59,22.29,-0.88
11327,2352.423755,8775.056009,11127.479764,21.14,78.86,20.71,0.43
11328,896.5336652,3137.429059,4033.9627242,22.22,77.78,24.32,-2.1
11329,1630.00495,3345.628605,4975.633555,32.76,67.24,38.53,-5.77
11330,2156.830815,6551.690977,8708.521792,24.77,75.23,29.29,-4.52
11331,2404.242406,6941.396609,9345.639015,25.73,74.27,30.97,-5.24
11332,2166.097299,9443.190529,11609.287828,18.66,81.34,21.92,-3.26
11333,3582.512793,5471.176032,9053.688825000001,39.57,60.43,47.5,-7.93
11334,2552.00891,3982.143793,6534.152703,39.06,60.94,43.44,-4.38
11335,2214.238676,6011.381561,8225.620237,26.92,73.08,30.93,-4.01
11336,1976.985201,4861.220529,6838.20573,28.91,71.09,34.39,-5.48
11337,2423.301438,3009.621744,5432.923182,44.6,55.4,45.65,-1.05
11338,4272.878345,7533.510235,11806.388579999999,36.19,63.81,38.28,-2.09
11339,4891.630153,4155.650395,9047.280547999999,54.07,45.93,63.8,-9.73
11340,5158.07605,4180.740671,9338.816721,55.23,44.77,63.48,-8.25
11341,4433.608528,3333.053111,7766.661639,57.09,42.91,64.77,-7.68
11343,8565.567019,4182.621723,12748.188742,67.19,32.81,74.67,-7.48
11344,3977.803101,1822.159412,5799.962513,68.58,31.42,74.6,-6.02
11345,4602.150384,3641.931842,8244.082225999999,55.82,44.18,64.36,-8.54
11346,4538.162644,1848.991504,6387.154148,71.05,28.95,76.99,-5.94
11347,2514.547355,1592.727559,4107.274914,61.22,38.78,69.9,-8.68
11348,5479.442035,7156.16148,12635.603514999999,43.37,56.63,46.94,-3.57
11350,5038.479953,7397.458645,12435.938598,40.52,59.48,40.06,0.46
11354,3717.519633,6147.103836,9864.623469,37.69,62.31,32.08,5.61
11355,133.0479807,297.9243904,430.97237110000003,30.87,69.13,28.48,2.39
11356,1903.574921,3294.987184,5198.562105,36.62,63.38,32.77,3.85
11357,3763.997708,7172.216985,10936.214693,34.42,65.58,31.78,2.64
11358,4794.188332,3768.726736,8562.915068,55.99,44.01,50.25,5.74
11359,8012.595418,6105.330911,14117.926329,56.75,43.25,51.57,5.18
11360,4165.250822,3626.1449,7791.395721999999,53.46,46.54,46.67,6.79
11361,2868.050596,6136.712034,9004.762630000001,31.85,68.15,27.39,4.46
11362,3240.761307,5420.523001,8661.284308,37.42,62.58,31.83,5.59
11363,3733.440685,7003.838364,10737.279049,34.77,65.23,33.69,1.08
11364,5160.106176,7523.201702,12683.307878,40.68,59.32,40.53,0.15
11366,2785.841232,5131.185378,7917.026610000001,35.19,64.81,28.97,6.22
11367,2291.265083,3648.477661,5939.742743999999,38.58,61.42,34.12,4.46
11368,4133.188607,4216.538674,8349.727281,49.5,50.5,51.83,-2.33
11369,6666.930826,5220.401123,11887.331949,56.08,43.92,51.97,4.11
11370,3280.790956,2921.556475,6202.347431,52.9,47.1,49.71,3.19
11371,4016.744037,2961.26614,6978.010177,57.56,42.44,56.23,1.33
11372,6257.735607,4141.18041,10398.916017,60.18,39.82,56.15,4.03
11373,2245.230062,2280.662986,4525.893048,49.61,50.39,42.4,7.21
11374,6981.643124,3832.454056,10814.09718,64.56,35.44,60.69,3.87
11375,3132.532319,5248.701503,8381.233822,37.38,62.62,37.5,-0.12
11376,5038.298965,6952.245199,11990.544163999999,42.02,57.98,42.42,-0.4
11377,3092.199058,3730.572177,6822.771235,45.32,54.68,48.11,-2.79
11378,1931.250171,2166.055723,4097.305894,47.13,52.87,45.5,1.63
11379,3989.405481,3089.567115,7078.972596,56.36,43.64,52.73,3.63
11380,3545.962605,3465.093843,7011.056448,50.58,49.42,48.61,1.97
11381,3064.422216,4787.094084,7851.5163,39.03,60.97,39.11,-0.08
11382,5688.820109,3217.311454,8906.131563,63.88,36.12,58.36,5.52
11383,7323.140877,5020.617325,12343.758202,59.33,40.67,58.69,0.64
11384,4325.479646,3824.127501,8149.607147,53.08,46.92,53.96,-0.88
11385,5372.824068,4446.913333,9819.737401,54.71,45.29,57.7,-2.99
11386,6001.467534,4961.24285,10962.710384,54.74,45.26,55.17,-0.43
11387,2894.868703,5892.113074,8786.981777,32.94,67.06,33.3,-0.36
11388,3964.684035,10649.40031,14614.084345000001,27.13,72.87,25.48,1.65
11389,2389.522065,5145.213039,7534.735104,31.71,68.29,30.65,1.06
11390,3450.486703,6783.288568,10233.775271,33.72,66.28,33.47,0.25
11391,4409.327324,4759.897434,9169.224758,48.09,51.91,51.49,-3.4
11392,1690.904595,3664.203438,5355.108033,31.58,68.42,29.26,2.32
11393,3670.342007,4906.276942,8576.618949,42.79,57.21,39.06,3.73
11394,2044.931911,7529.517323,9574.449234,21.36,78.64,21.99,-0.63
11395,2462.463187,5350.488551,7812.951738,31.52,68.48,30.49,1.03
11396,2266.480594,2857.37196,5123.852554,44.23,55.77,48.36,-4.13
11398,6280.826583,4135.448489,10416.275072,60.3,39.7,63.4,-3.1
11399,5396.986705,4010.123847,9407.110552,57.37,42.63,61.43,-4.06
11400,8546.793987,5867.803121,14414.597107999998,59.29,40.71,63.23,-3.94
11401,2723.927462,2063.290988,4787.21845,56.9,43.1,61.96,-5.06
11402,8570.403455,4937.026211,13507.429666,63.45,36.55,67.57,-4.12
11403,6209.841602,4451.680083,10661.521685,58.25,41.75,59.25,-1
11404,3635.510114,2960.281854,6595.7919679999995,55.12,44.88,56.93,-1.81
11406,5907.030955,3948.632463,9855.663418,59.94,40.06,61.38,-1.44
11407,7061.516851,3656.628984,10718.145835,65.88,34.12,71.71,-5.83
11408,8037.38705,4227.806483,12265.193533000001,65.53,34.47,71.84,-6.31
11409,5921.933552,2950.909136,8872.842688,66.74,33.26,71.94,-5.2
11410,8057.359878,2975.722541,11033.082419,73.03,26.97,77.06,-4.03
11411,7244.010865,3494.179327,10738.190192,67.46,32.54,71.56,-4.1
11412,6406.749354,2996.499611,9403.248964999999,68.13,31.87,71.83,-3.7
11413,5528.711732,4203.735761,9732.447493,56.81,43.19,64.62,-7.81
11414,5206.591113,4159.774985,9366.366098,55.59,44.41,61.23,-5.64
11415,8931.101925,7046.159426,15977.261351000001,55.9,44.1,67.65,-11.75
11416,4572.336288,3920.97312,8493.309408000001,53.83,46.17,62.13,-8.3
11417,2851.982472,2312.761717,5164.744189,55.22,44.78,61.21,-5.99
11418,5867.947122,5302.700637,11170.647759,52.53,47.47,62.96,-10.43
11419,5356.753895,5768.810461,11125.564355999999,48.15,51.85,59.27,-11.12
11420,4570.164814,3275.598888,7845.763702,58.25,41.75,63.96,-5.71
11421,4232.217229,2342.276055,6574.493284,64.37,35.63,67.59,-3.22
11422,5181.682626,3159.034756,8340.717381999999,62.13,37.87,66.11,-3.98
11423,9272.947412,5145.12526,14418.072671999998,64.31,35.69,66.62,-2.31
11424,4314.232708,2911.146548,7225.379256,59.71,40.29,62.09,-2.38
11425,2709.894396,1535.629877,4245.524273,63.83,36.17,65.26,-1.43
11426,6353.648155,5268.261634,11621.909789000001,54.67,45.33,58.97,-4.3
