SA2_5DIG16,v_lnp_sa2,v_alp_sa2,v_t_sa2,p_lnp_sa2,p_alp_sa2,p_lnp_sa2_16,swing
71020,1092.726878,1339.234213,2431.961091,44.93,55.07,42.71,2.22
71021,943.2672821,1204.439344,2147.7066261,43.92,56.08,41.43,2.49
71022,925.1349003,1230.847226,2155.9821263000003,42.91,57.09,39.95,2.96
71023,490.2055788,697.4738128,1187.6793916000001,41.27,58.73,40.33,0.94
71024,423.7488765,551.8760857,975.6249622,43.43,56.57,39.59,3.84
71025,707.4689095,983.9881412,1691.4570506999999,41.83,58.17,40.99,0.84
71026,633.6890615,894.8486766,1528.5377380999998,41.46,58.54,40.14,1.32
71027,481.1914086,642.0128266,1123.2042352,42.84,57.16,40.73,2.11
71028,394.5373881,512.5380894,907.0754775,43.5,56.5,40.53,2.97
71029,414.7140491,536.5907591,951.3048082,43.59,56.41,40.75,2.84
71030,507.7077087,672.8364181,1180.5441268,43.01,56.99,40.35,2.66
71031,1101.823682,679.2054634,1781.0291453999998,61.86,38.14,52.35,9.51
71032,2315.759041,1465.664866,3781.423907,61.24,38.76,52.7,8.54
71033,2.593425362,2.109837085,4.703262447,55.14,44.86,46.73,8.41
71034,903.7192632,518.7291174,1422.4483805999998,63.53,36.47,53.54,9.99
71035,1026.581492,683.0794207,1709.6609127000002,60.05,39.95,51.89,8.16
71036,702.7327091,680.7817501,1383.5144592,50.79,49.21,42.28,8.51
71037,624.2169595,566.4216332,1190.6385927000001,52.43,47.57,45.4,7.03
71038,1092.582621,893.015964,1985.5985850000002,55.03,44.97,47.81,7.22
71039,627.6109579,657.6015968,1285.2125547,48.83,51.17,43.1,5.73
71040,594.2136389,564.3570987,1158.5707376,51.29,48.71,43.94,7.35
71041,934.0442707,794.1395312,1728.1838019,54.05,45.95,44.27,9.78
71042,962.0370252,678.1420461,1640.1790713,58.65,41.35,45.61,13.04
71043,1393.766424,1222.623813,2616.3902369999996,53.27,46.73,45.09,8.18
71044,724.2007125,706.0486713,1430.2493838,50.63,49.37,43.76,6.87
71045,949.8629276,948.9880091,1898.8509367000001,50.02,49.98,46.79,3.23
71046,1157.210038,1356.765867,2513.9759050000002,46.03,53.97,43.38,2.65
71047,963.6251064,930.3037593,1893.9288657000002,50.88,49.12,47.07,3.81
71048,1087.157261,1100.492355,2187.649616,49.7,50.3,45.99,3.71
71049,702.055703,743.096627,1445.15233,48.58,51.42,45.48,3.1
71050,160.3726629,451.8197732,612.1924361,26.2,73.8,33.67,-7.47
